tokens,amounts,keep_stop,
R[andal].,2,,
C[olin].,2,,
received).,2,,
Berwick.,2,,
executed.,2,,
A[rchibald].,2,,
towns].,2,,
Castle-Market.,2,,
Meath-Street.,2,,
newsmen.,2,,
Cov.,2,,
Fryeburgh.,2,,
A[nthony].,2,,
Doctors-Commons.,2,,
15s.,2,,
Journal.,2,,
Z[achariah].,2,,
78,2,,
Ormonde-Key.,2,,
Capel-street.,2,,
villages.,2,,
Smock-Alley.,2,,
doll.,2,,
A[ndrews].,2,,
W.O[nley].,2,,
M[atthews].,2,,
Little-Old-Baily.,2,,
B.R.,2,,
R[oper].,2,,
F[oster].,2,,
Sep.,2,,
MDCXLIIII.,2,,
R[apha].,2,,
Fin.,2,,
Steyger.,2,,
Coemeter.,2,,
J[aneway].,2,,
C[hapman].,2,,
E[phraim].,2,,
V[avasour].,2,,
M.T.,2,,
S[pencer].,2,,
Edvard.,2,,
1636,2,,
Griffin.,2,,
R[ookes].,2,,
M[oseley].,2,,
G[riffen].,2,,
I[unior].,2,,
November.,2,,
J[onas].,2,,
Moxon.,2,,
Col.,2,,
Tompson.,2,,
Eli.,2,,
Elizabeth].,2,,
XLI.,2,,
M.DC.LXX.,2,,
M.DC.LXXI.,2,,
Ju.,2,,
F[rank].,2,,
L[ittlebury].,2,,
crosse-men.,2,,
W[ebster].,2,,
Jo[seph].,2,,
T[homason].,2,,
F[aithorne].,2,,
K[ersey].,2,,
E.C[otes].,2,,
H[Mercy].,2,,
M[eighan].,2,,
Nathan.,2,,
Oxonii.,2,,
N.G.,2,,
Magnes.,2,,
Lamb.,2,,
Flesheri.,2,,
I.A.,2,,
Impensis.,2,,
B[radyll].,2,,
E[ward].,2,,
Len.,2,,
Milocho.,2,,
M.DC.LXXXV.,2,,
typographou.,2,,
Holborne.,2,,
university.,2,,
M[atthew].S[immons].,2,,
Edvar.,2,,
P[akeman].,2,,
T[wyford].,2,,
Ephr.,2,,
Barthol.,2,,
O[akes].,2,,
L[aurence].,2,,
H[ewer].,2,,
Sare.,2,,
T.U.,2,,
Atlas.,2,,
MDCLX.,2,,
R.R.C.,2,,
P.C.,2,,
T[ooke].,2,,
K[embe].,2,,
D.Y.,2,,
regius.,2,,
R[oyston].,2,,
S[imon].,2,,
D[over].,2,,
H[ancock].,2,,
Change.,2,,
Crouch.,2,,
C[ox].,2,,
væn.,2,,
F.W.,2,,
catal.,2,,
Sarazens-head.,2,,
P.M.,2,,
Shoreditch.,2,,
typis.,2,,
administr.,2,,
Elea.,2,,
socios.,2,,
S.G[riffin].,2,,
P[arry].,2,,
Oriental.,2,,
J.G[rismond].,2,,
Christop.,2,,
Streater.,2,,
Francis.,2,,
M.DC.LXXIV.,2,,
13th.,2,,
Trinobantum.,2,,
K[irkman].,2,,
Playford.,2,,
Chiswell.,2,,
Harper].,2,,
Paul's-Church-Yard.,2,,
R.[i.e.,2,,
A.[i.e.,2,,
T.[i.e.,2,,
B.E.,2,,
Excell.,2,,
Mar.,2,,
LXXIV.,2,,
N.C.,2,,
W.K.,2,,
Henry.,2,,
MDC.XCIV.,2,,
F.P.,2,,
M.B[ell].,2,,
C.A.,2,,
end.,2,,
VVil.,2,,
væneunt.,2,,
MDCLXXXIX.,2,,
insig.,2,,
Simpson.,2,,
W[atson].,2,,
Broad.,2,,
B.D.,2,,
(Septem.,2,,
Mer.,2,,
Gab.,2,,
Octavian.,2,,
Marm.,2,,
A.A.,2,,
M.O.,2,,
Cant.,2,,
G.T.,2,,
Theod.,2,,
Royall-Exchange.,2,,
Thackeray.,2,,
Lillicrap.,2,,
Duck-Lane.,2,,
dicto.,2,,
page.,2,,
MDCXLII.,2,,
Samuel.,2,,
Mercers-Chapel.,2,,
Propag.,2,,
Speuy.,2,,
Lugd.,2,,
Batav.,2,,
Octav.,2,,
life.,2,,
Du-gardi.,2,,
volume.,2,,
societat.,2,,
T.K.,2,,
Æ.,2,,
J.L.T.,2,,
XLIII.,2,,
Gellibrand.,2,,
Gui.,2,,
C[hurchill].,2,,
Danielis.,2,,
Corn-hill.,2,,
Aldersgate-street.,2,,
197,2,,
Dawks.,2,,
pump.,2,,
younger.,2,,
G[uy].,2,,
J[ames].C[ottrell].,2,,
Trin.,2,,
M[rs.,2,,
T.H[arper].,2,,
Majestatis.,2,,
Sim.,2,,
T.B[raddyll].,2,,
M[oxon?].,2,,
I[ohnson].,2,,
A.S.,2,,
P[assinger].,2,,
I[osiah].,2,,
Kell.,2,,
Bladen.,2,,
P[urslow].,2,,
G[ilbertson].,2,,
dom.,2,,
H.K.,2,,
T.R[atcliffe].,2,,
E.M[ottershed].,2,,
B[asset].,2,,
Aldgate.,2,,
N.D.,2,,
J.C[larke].,2,,
I.C[larke].,2,,
Little.,2,,
Comit.,2,,
Resp.,2,,
R.E[veringham].,2,,
wares.,2,,
Noth.,2,,
B[rooksby].,2,,
O[liver].,2,,
Leaden-Hall-Street.,2,,
Richard.,2,,
Field.,2,,
[s.,2,,
Jur.,2,,
Gilbertson.,2,,
[J[ohn].,2,,
Smith-field.,2,,
price.,2,,
B[artholomew].,2,,
Bridg.,2,,
P.[i.e.,2,,
Da[vid].,2,,
Phil[ip].,2,,
R[obin].,2,,
14th.,2,,
Londo.,2,,
Lanceston.,2,,
O.[i.e.,2,,
H[umphry].,2,,
1694/5.,2,,
L[awrence].,2,,
Newgate.,2,,
MDCLXXI.,2,,
cM.,2,,
LXIII.,2,,
Exc.,2,,
wed.,2,,
[i.,2,,
H[usband].,2,,
K[atherine].,2,,
Sereniss.,2,,
N[evil].,2,,
Lord.,2,,
K[eble].,2,,
Cateaton-street.,2,,
cornhil.,2,,
Calend.,2,,
1625,2,,
[Edw.,2,,
l'autheur.,2,,
xix.,2,,
February.,2,,
1564,2,,
1602,2,,
A.M[athewes].,2,,
Totteli.,2,,
[D.,2,,
Este.,2,,
son[n]e.,2,,
eyght.,2,,
.v.,2,,
Berthe.,2,,
Mierdman.,2,,
pt.,2,,
Eph.,2,,
Conduite.,2,,
Eld?].,2,,
1613,2,,
ii.,2,,
p.,2,,
Churche.,2,,
1609,2,,
Hauiland.,2,,
Mermaide.,2,,
Mychell.,2,,
Lucrece.,2,,
.xxi.,2,,
Rastell.,2,,
.x.,2,,
Berthel.,2,,
1573,2,,
Marshe.,2,,
Byrd.,2,,
Pynsonianus.,2,,
CCCCC.,2,,
Allde.,2,,
intersignio.,2,,
Nouembre.,2,,
Byddell.,2,,
maturinorum.,2,,
lord.,2,,
N[elson].,2,,
xxix.,2,,
Rossei.,2,,
Robinsonus.,2,,
B[usby].,2,,
T[horpe].,2,,
Godfray.,2,,
Westmestre.,2,,
Favvcet.,2,,
appellatur.,2,,
1578,2,,
Snodham.,2,,
B[rowne].,2,,
1575,2,,
MDCXXXIII.,2,,
.s.,2,,
Cousturier.,2,,
M.D.LI.,2,,
Bishop.,2,,
1576,2,,
Newberie.,2,,
ass.,2,,
assig.,2,,
C[adman].,2,,
Nicolai.,2,,
assignat.,2,,
[[N.,2,,
Wreittoun.,2,,
defuncti.,2,,
H[enrie].,2,,
D[enham].,2,,
impressor.,2,,
Iune.,2,,
.xxvi.,2,,
Okes.,2,,
Salysbury.,2,,
excussit.,2,,
1618,2,,
others].,2,,
Wynkyn.,2,,
Iunij.,2,,
Bertheleti.,2,,
1577,2,,
reg.,2,,
.iii.,2,,
Graftoni.,2,,
Waredrop.,2,,
Trinitatis.,2,,
1597,2,,
Math[ewes].,2,,
Septembris.,2,,
churche.,2,,
1562,2,,
B[owen].,2,,
H.L[ownes].,2,,
[Tho.,2,,
rentes.,2,,
venitiis.,2,,
M.D.xviij.,2,,
Leonard.,2,,
1617,2,,
Whytchurche.,2,,
Norton].,2,,
Schinckelij.,2,,
hæred.,2,,
Baudous.,2,,
Hage.,2,,
I[oan].,2,,
1610,2,,
B[ellamy].,2,,
I.R[oberts].,2,,
Foulerum.,2,,
1596,2,,
[[J.,2,,
Martij.,2,,
[ap.,2,,
LVII.,2,,
Iuly.,2,,
Georgii.,2,,
regali.,2,,
Phile.,2,,
Oliuier.,2,,
Horse.,2,,
Iacobi.,2,,
Iocos.,2,,
Cawood.,2,,
Kingston.,2,,
W[olfe].,2,,
1624,2,,
XXXII.,2,,
Londinens.,2,,
Bonh.,2,,
Bankes.,2,,
Iansz.,2,,
E[dgar].,2,,
E[ast].,2,,
highnes.,2,,
XXXI.,2,,
B[rewster].,2,,
apud.,2,,
D[ownes].,2,,
Bourne.,2,,
whytchurche.,2,,
1523,2,,
Coloniensis.,2,,
Waley.,2,,
Middleton.,2,,
Windet.,2,,
éd.,2,,
1637,2,,
1570,2,,
V[incent].,2,,
Parisien[n].,2,,
(T.,2,,
Fleet-Market.,2,,
Catherine-str.,2,,
bar.,2,,
75,2,,
Broadmead.,2,,
Pile.,2,,
Cheap-Side.,2,,
Sale.,2,,
Pieces.,2,,
Wolverhampton.,2,,
Eyres.,2,,
Prost.,2,,
Westmonaster.,2,,
Huddersfield.,2,,
Birmingham.,2,,
181,2,,
Davidson.,2,,
Warwick.,2,,
Sylv.,2,,
Edmunds.,2,,
Henderson.,2,,
Hale.,2,,
Sycamore-Alley.,2,,
G.C.J.,2,,
Chandler.,2,,
Tower-Street.,2,,
168,2,,
Ad.,2,,
Pasham.,2,,
Peat.,2,,
Corbett.,2,,
Walmsley.,2,,
Viii.,2,,
LXXIII.,2,,
Essex-Street.,2,,
Haymarket.,2,,
Loder.,2,,
Eb.,2,,
Hawkins.,2,,
Arms.,2,,
Bury.,2,,
her.,2,,
brethren.,2,,
Ginger.,2,,
Gerard-Street.,2,,
Westmonast.,2,,
Market-House.,2,,
Harrison.,2,,
Bloomsbury-Square.,2,,
87,2,,
MDCCXLVIII.,2,,
compiler.,2,,
Long-Acre.,2,,
Varnam.,2,,
G.N.,2,,
Lintot.,2,,
Adlard.,2,,
Half.,2,,
Lincoln.,2,,
Toulmin.,2,,
shillings.,2,,
Exoniensis.,2,,
Colvill.,2,,
Black-Friars.,2,,
Merrill.,2,,
ainé.,2,,
10-6.,2,,
Hooper.,2,,
mandati.,2,,
Drewry.,2,,
Ratcliff-Highway.,2,,
Humbert.,2,,
Reymers.,2,,
Craig's-Closs.,2,,
Leicestershire.,2,,
End.,2,,
Jacobs.,2,,
Je.,2,,
Michael's-Church.,2,,
Virtue.,2,,
Greville-street.,2,,
Gray's-Inn-Gate.,2,,
public.,2,,
Burton-Street.,2,,
200,2,,
Co's.,2,,
Morren.,2,,
Theatre.,2,,
pence.,2,,
Gid.,2,,
Lerpiniere.,2,,
Bloom.,2,,
Winton.,2,,
Fish-Market.,2,,
Stephen-Street.,2,,
M.DCC.XXXIV.,2,,
Coney-Street.,2,,
Sutton.,2,,
M.DCC.LVII.,2,,
Gerrard-Street.,2,,
XXXVIII.,2,,
145,2,,
Chri.,2,,
mention.,2,,
How.,2,,
Sadler.,2,,
Serani.,2,,
Grierson.,2,,
JA.,2,,
Herts.,2,,
Peairt.,2,,
Broadgate.,2,,
B...,2,,
Coombe.,2,,
Dalton.,2,,
Rollason.,2,,
Valade.,2,,
Wicksteed.,2,,
Swindells.,2,,
Sergent.,2,,
No.1.,2,,
Capuchin-Lane.,2,,
Patt.,2,,
Urquhart.,2,,
M.DCC.XLVII.,2,,
Liberty.,2,,
M.DCC.LXXXIV.,2,,
poor.,2,,
David.,2,,
Dunn.,2,,
Elip.,2,,
Str.,2,,
Dulau.,2,,
Keating.,2,,
Libr.,2,,
Publick.,2,,
Heming.,2,,
Bible.,2,,
M.DCC.XXX.,2,,
Mʿdowall.,2,,
Anglesea-Street.,2,,
Stainbank.,2,,
Couchman.,2,,
Brindley.,2,,
Bride-street.,2,,
filium.,2,,
Salop.,2,,
Dean-Street.,2,,
Bow-Lane.,2,,
pontem.,2,,
Print.,2,,
Innys.,2,,
Saillant.,2,,
Royez.,2,,
lives.,2,,
&T.,2,,
Mcc.,2,,
409,2,,
Fox.,2,,
Glasgho.,2,,
parch.,2,,
76,2,,
Ruault.,2,,
(N.,2,,
Robson.,2,,
Hunter.,2,,
Heydinger.,2,,
Garnery.,2,,
Muses.,2,,
Bassompierre.,2,,
le.,2,,
Pasquali.,2,,
Burrough.,2,,
real.,2,,
Cellier.,2,,
Colles.,2,,
Ave-Mary-Lane.,2,,
Doig.,2,,
Woodbridge.,2,,
Hughes.,2,,
Reed.,2,,
Nathl.,2,,
Huntingdon.,2,,
M.D.XXXIII.,2,,
M.DCC.LXX.VI.,2,,
British-Library.,2,,
Aberdeen.,2,,
Argyle-Buildings.,2,,
Wilkin.,2,,
Fielding.,2,,
Great-Britain.,2,,
Mortlock.,2,,
Midwinter.,2,,
Fore-Street.,2,,
Alcock.,2,,
100,2,,
Peisley.,2,,
McLean.,2,,
Manchester-Square.,2,,
Ridgeway.,2,,
Jun'.,2,,
Say.,2,,
Folingsby-J.,2,,
Rann.,2,,
212,2,,
P.T.,2,,
Boys.,2,,
Manchester).,2,,
Jardinet.,2,,
Pont-au-Change.,2,,
Zeph.,2,,
Charleston.,2,,
Parliament-Street.,2,,
Windsor.,2,,
High-Holborn.,2,,
Bent.,2,,
MDCCXCIX.,2,,
Nelson.,2,,
Stag.,2,,
Trapp.,2,,
Hopkins.,2,,
Ev.,2,,
Bibliopolam.,2,,
Stamp.,2,,
editoris.,2,,
Cupar.,2,,
Law-Printers.,2,,
Stockport.,2,,
M.DCC.LXXXI.,2,,
Crampton-Court.,2,,
Drew.,2,,
Hercules.,2,,
LXX.,2,,
Wheeler.,2,,
Faber.,2,,
Dornin-W.,2,,
Jones-G.,2,,
Kelly-P.,2,,
Haberkorn.,2,,
Potter.,2,,
Portland-Str.,2,,
Fleet-Str.,2,,
Cavendish-Square.,2,,
M.DCC.XXV.,2,,
Canal.,2,,
Nantwich.,2,,
107,2,,
imprimeur-libraire.,2,,
108,2,,
Tottenham-Court-Road.,2,,
Soho-Square.,2,,
Thomas-Street.,2,,
M.DCC.XCV.,2,,
Nicholson).,2,,
Bailly.,2,,
Benjn.,2,,
Rochdale.,2,,
MDCCLXXX.,2,,
Ville.,2,,
Bradley.,2,,
Richmond.,2,,
Mark-Lane.,2,,
High-street.,2,,
Augt.,2,,
Rudder.,2,,
N�.,2,,
Bridgegate.,2,,
Duke's.,2,,
Levingston.,2,,
Portugal-Street.,2,,
M.DCC.L.,2,,
M.DCC.LI.,2,,
103,2,,
Clement's-Inn.,2,,
seller.,2,,
Jews.,2,,
Honoré.,2,,
P.R.,2,,
Newborough.,2,,
Archer.,2,,
gentlemen.,2,,
C.J.,2,,
M.DCC.XCVIII.,2,,
Leabhair-Reiceadoir.,2,,
Printing.,2,,
Compy.,2,,
wholesale.,2,,
Gov.,2,,
Kearsly.,2,,
Provost.,2,,
Rind.,2,,
Bez.,2,,
theatre.,2,,
Hawkers.,2,,
Thames.,2,,
Long-Row.,2,,
True.,2,,
prison.,2,,
Croswell.,2,,
Baltimore.,2,,
Colerick.,2,,
masters.,2,,
Broad-Street.,2,,
Lieut.,2,,
Beaver-Street.,2,,
Nlle.,2,,
Wait.,2,,
Comp'y.,2,,
Jenks.,2,,
(M.,2,,
post-riders.,2,,
Fabrique.,2,,
Concord.,2,,
Port.,2,,
Kirche.,2,,
Bäumen.,2,,
222,2,,
Derrick.,2,,
city.,2,,
groce.,2,,
Ustick.,2,,
Albany--W.W.,2,,
Lansingburgh--A.,2,,
meeting-house.,2,,
Long-Island.,2,,
Strasse.,2,,
South-End.,2,,
Greenough.,2,,
Southwick.,2,,
Blunt.,2,,
court-house.,2,,
Newbury-port.,2,,
LXIV.,2,,
Chesnut-Streets.,2,,
--4s.,2,,
Middle-Lane.,2,,
Gerrish.,2,,
Markt-Strasse.,2,,
Neuman.,2,,
Herman.,2,,
Hahn.,2,,
Doct.,2,,
Island.,2,,
--no.,2,,
--1793.,2,,
[Conn.,2,,
Charlestown.,2,,
Peck-Slip.,2,,
Morse.,2,,
paid.,2,,
Black-Horse-Alley.,2,,
Clap.,2,,
per.,2,,
Crukshank.,2,,
5793,2,,
Cushing.,2,,
84,2,,
Birch.,2,,
Congress.,2,,
North-American.,2,,
Newbury.,2,,
Lansingburgh.,2,,
W.Y.,2,,
Fly-Market.,2,,
cts.,2,,
Greenleaf.,2,,
Ph.-D.,2,,
Pierres.,2,,
ware-room.,2,,
Direct.,2,,
Avgvst.,2,,
M.DDC.LXXXIII.,1,,
mm.,1,,
Oxonienses.,1,,
Royal-Excharge.,1,,
Impressio.,1,,
londinens.,1,,
Papyrus.,1,,
Pim.,1,,
com.,1,,
Southton.,1,,
162,1,,
Lean.,1,,
Langues.,1,,
gaol.,1,,
(numb.,1,,
Stratford.,1,,
aganst.,1,,
Mw.,1,,
Jermyn-Street.,1,,
Flindell.,1,,
Popes-Head.,1,,
Ridley.,1,,
Ol.l.,1,,
Constantes.,1,,
Westmonasteriensis.,1,,
adminstr.,1,,
Hermitage-Bridge.,1,,
Courts.,1,,
Farmer.,1,,
Bridge-Lane.,1,,
64,1,,
Italienne.,1,,
Jeb.,1,,
Blow.,1,,
Barbadoes.,1,,
By.G.,1,,
Messs.,1,,
MR.,1,,
Saint-Benoît.,1,,
Coemit.,1,,
Childe.,1,,
Toy.,1,,
Brice.,1,,
Scholey.,1,,
188,1,,
L.F.J.,1,,
M.DCC.XXI.,1,,
Sammells.,1,,
Sumpter.,1,,
Anderson's.,1,,
Style.,1,,
Classics.,1,,
l'aîné.,1,,
Jonah.,1,,
Be[n]j.,1,,
Russel.,1,,
MDCCXX.,1,,
Vance.,1,,
Magnus-Church.,1,,
M.DCC.,1,,
Blind-Quay.,1,,
Popping.,1,,
yard.,1,,
Buckingham.,1,,
Clout.,1,,
Bond-street.,1,,
Hodgsons.,1,,
Pheney.,1,,
Junioris.,1,,
Bain.,1,,
Bedford-Street.,1,,
Buckingham-Street.,1,,
[Dan.,1,,
Print-Sellers.,1,,
Henshall.,1,,
5770,1,,
E[.,1,,
Jefferys.,1,,
Buego.,1,,
L'...,1,,
Patternoster-Row.,1,,
Brüggemann.,1,,
Cochrah.,1,,
sellers.,1,,
step.,1,,
warehouses.,1,,
Post-Office.,1,,
B[radford].,1,,
L.L.D.,1,,
MDCCXVII.,1,,
tracts.,1,,
Chamberlaine.,1,,
21st.,1,,
last.,1,,
Foranstaltning.,1,,
Fawcett.,1,,
Napper.,1,,
Co.-W.,1,,
Prin.,1,,
Bridge..,1,,
Corneille.,1,,
mercht.,1,,
Rae.,1,,
Butters.,1,,
Mosman.,1,,
imprimeur-libraîre.,1,,
Jobson.,1,,
Comyns.,1,,
220,1,,
Bo.,1,,
Carington.,1,,
Delalain.,1,,
associés.,1,,
Sans-Culottes.,1,,
Social-Circle.,1,,
Sudbury.,1,,
Salt-mercat.,1,,
Burks.,1,,
Grangé.,1,,
Margate.,1,,
Millet.,1,,
Venise.,1,,
Sphibury.,1,,
Thamesin.,1,,
Hinchlife.,1,,
Pierre-Franç.,1,,
Ebor.,1,,
Coglan.,1,,
Evan.,1,,
Brander.,1,,
elysees.,1,,
Leicester-Field.,1,,
Myers.,1,,
Sold.,1,,
Nicholas.,1,,
Wilts.,1,,
Lintott.,1,,
Mechell.,1,,
Legislature.,1,,
M.DCCLXVI.,1,,
M.DC.XXX.,1,,
-1794,1,,
Batty.,1,,
Hardouin.,1,,
l'universite.,1,,
Elgin-J.,1,,
Crosscausey.,1,,
GG.,1,,
Vergani.,1,,
Sullivan.,1,,
Croydon.,1,,
169,1,,
Chapel-Street.,1,,
Peltier.,1,,
l'ainé.,1,,
New.,1,,
Garland.,1,,
M.DCC.XVIII.,1,,
Stamford.,1,,
Desaint.,1,,
Harrod.,1,,
orn.,1,,
Jephson.,1,,
Derby.,1,,
Edwards.,1,,
Barrie.,1,,
Glas.,1,,
booksellers.-Mr.,1,,
Sharpey.,1,,
Hospitals.,1,,
music-seller.,1,,
Pinelle.,1,,
T.B.V.,1,,
Price.,1,,
Macklin.,1,,
Rusher.,1,,
A.F.M.,1,,
Hurt.,1,,
Anton.,1,,
McDonald.,1,,
Round.,1,,
Vilson.,1,,
23rd.,1,,
Guildford.,1,,
Glasgow-R.,1,,
London-J.,1,,
Edin.-G.,1,,
Pennell.,1,,
medicine.,1,,
Dingle.,1,,
Six-Pence.,1,,
Edlin.,1,,
Uandenhoeck.,1,,
Lambeth.,1,,
Falmouth.,1,,
Naylor.,1,,
W...,1,,
Rousseau.,1,,
Cath.,1,,
seel.,1,,
library.,1,,
Nevill.,1,,
rev.,1,,
mess.,1,,
Fund.,1,,
Nisbet.,1,,
Perrin.,1,,
[Davis.,1,,
D.S.,1,,
Octobr.,1,,
West-smithfield.,1,,
Crouse.,1,,
Marg.,1,,
[printed.,1,,
Barnastapulæ.,1,,
sciences.,1,,
Besongne.,1,,
Indes.,1,,
venduntur.,1,,
Crompton.,1,,
Gosnell.,1,,
Fairbrother.,1,,
Manship.,1,,
Keeble.,1,,
D.B.,1,,
Gainsborough.,1,,
P.A.D.,1,,
Gilliver.,1,,
Morran.,1,,
Dixwell.,1,,
Gunne.,1,,
leabhair-reiseadoir.,1,,
Green-street.,1,,
Portam.,1,,
Staf.,1,,
Scatchard.,1,,
Iordan.,1,,
Typis.,1,,
Richardi.,1,,
Freem...,1,,
bath.,1,,
Bicket.,1,,
Bennett.,1,,
Chapelle.,1,,
Bragg.,1,,
Looking-Glass.,1,,
Wickstead.,1,,
Lausanne.,1,,
Swindell's.,1,,
Gardens.,1,,
Cost...,1,,
Letterman.,1,,
Fourdrinier.,1,,
Gowan.,1,,
Dart.,1,,
aîné.,1,,
Gravel-Lane.,1,,
Wars.,1,,
Sieges.,1,,
Vols.,1,,
Goldt.,1,,
Wisp.,1,,
Meares.,1,,
London-printed.,1,,
Dulon-Champ.,1,,
Mg.,1,,
Slater.,1,,
Noble.,1,,
Rowlands.,1,,
Yeo.,1,,
Picadilly.,1,,
Buckinghamshire.,1,,
Rowson.,1,,
Conder.,1,,
Publishing-Office.,1,,
Bewick.,1,,
Walton.,1,,
a...,1,,
Corbet.,1,,
5484,1,,
Mme.,1,,
Emman.,1,,
Part.,1,,
Matchety.,1,,
M.DCCXXII.,1,,
Bland.,1,,
Amey.,1,,
Rolls'-Buildings.,1,,
Exchange..,1,,
Faulkener.,1,,
General.,1,,
Fl-etstreet.,1,,
Turl.,1,,
subjects.,1,,
Paternoster-row.,1,,
Donalsdon.,1,,
booksellr.,1,,
Printing-House.,1,,
Ral.,1,,
accordg.,1,,
Parlt.,1,,
Barbou.,1,,
22d.,1,,
LeGrand.,1,,
Iac.,1,,
Chairing-Cross.,1,,
love.,1,,
hands.,1,,
Reynell.,1,,
edinenses.,1,,
paintings.,1,,
no.13.,1,,
Cripplegate.,1,,
necesarias.,1,,
Febry.,1,,
Casp.,1,,
ältern.,1,,
J.F.W.,1,,
Hood].,1,,
Sumptibus.,1,,
Perth.,1,,
Yves.,1,,
bois.,1,,
Ve.,1,,
10d.,1,,
Apl.,1,,
Pub'.,1,,
Lunnyng.,1,,
Newcattle.,1,,
Kingsdoms.,1,,
Barbican.,1,,
Bethnal-Green-Road.,1,,
Hunp.,1,,
Bloomsbury-Market.,1,,
proprietor.,1,,
N[ewell].,1,,
jun'r.,1,,
inserted.-N.B.,1,,
B[ates].,1,,
1660].,1,,
Popes-head-alley.,1,,
Underhill.,1,,
1⁰.,1,,
Ioh[n].,1,,
Lich.,1,,
H[ammond].,1,,
b[lank].,1,,
corner.,1,,
College.,1,,
262,1,,
V[ile].,1,,
Anglesey-Street.,1,,
Fishamble-street.,1,,
Old-Baily.,1,,
B[rooks].,1,,
addressed.,1,,
L.V.,1,,
H(ugh).,1,,
morning.,1,,
A[ndreas].,1,,
R[obert]..,1,,
Committee.,1,,
W[ells].,1,,
J[ames?].,1,,
Somerset-House.,1,,
G[raham].,1,,
Coffee-house.,1,,
M[att].,1,,
recieved.,1,,
W[alton].,1,,
D[raper].,1,,
halfpence.,1,,
Land.,1,,
.T[homas].,1,,
M[arion].,1,,
J[ason].,1,,
T[aylor].,1,,
margaret's.,1,,
S[usanna].,1,,
G[avin].,1,,
Hicky.,1,,
L[ewis].,1,,
o.,1,,
manner.,1,,
copy.,1,,
Custom-house.,1,,
Brenan.-No.,1,,
95,1,,
C[irencester].,1,,
Preston.,1,,
Meuse.,1,,
M[orton].,1,,
Creswell.,1,,
Licensed.,1,,
Russell-st.,1,,
B[one].,1,,
Goodman's-Fields.,1,,
l'Impr.,1,,
Gr[ace].,1,,
C[ollister].,1,,
[Mr.,1,,
Pater-noster-row.,1,,
Collyer.,1,,
E[praim].,1,,
Clare-Street.,1,,
[J.D.,1,,
T[omas].,1,,
F.X.,1,,
J[udah].,1,,
[Wm.,1,,
Covt.,1,,
good-manners.,1,,
Stone-Gate.,1,,
E[linor].,1,,
Rhif.,1,,
No1.,1,,
Vine-street.,1,,
Sharples.,1,,
Knightsbrige.,1,,
exclusif.,1,,
a.D.,1,,
Gardi.,1,,
A[stworth].,1,,
MDCLVII.,1,,
Typographeo.,1,,
Sam[uel].,1,,
Brysons.,1,,
Johnsstreet.,1,,
Du.,1,,
W[illiam].O[nley].,1,,
Wasse.,1,,
M.[Maxwell].,1,,
S[hadd].,1,,
Olton.,1,,
Authoris.,1,,
columbarum.,1,,
H[arford].,1,,
M.DC.LXXVI.,1,,
Drie-hoek.,1,,
Betkium.,1,,
B[irch].,1,,
school-masters.,1,,
MDCXCIV.,1,,
1670,1,,
M[iller.,1,,
H[orn].,1,,
B[aker].,1,,
Bibliopolæ.,1,,
celeberr.,1,,
academ.,1,,
J.A[stwood].,1,,
A.J.,1,,
Eagles-field.,1,,
Cook.,1,,
Little-St.,1,,
bibiop.,1,,
B[ryson].,1,,
S.B[ulkley?].,1,,
C[hetwin].,1,,
Marriott.,1,,
H[arison].,1,,
maps.,1,,
W[ellington].,1,,
K.B.,1,,
E[glesfield].,1,,
M[armaduke.,1,,
Godbid].,1,,
Academ.,1,,
Vniversitie.,1,,
wth.,1,,
Rogers.,1,,
H[eptinstal].,1,,
retire.,1,,
P[itt].,1,,
Ab[raham].,1,,
Oxlad.,1,,
MDCXCV.,1,,
T[homs].,1,,
V[underhill].,1,,
O[ctavian].,1,,
P[ulleyn].,1,,
H.I.,1,,
I[asper].,1,,
E[mery].,1,,
Richard].,1,,
MDCXCVI.,1,,
C[ademan].,1,,
A.C[larke].,1,,
A[doniram].,1,,
B[yfeild].,1,,
T[ookey].,1,,
P[erry].,1,,
G[riffith].,1,,
Vitruvius.,1,,
O.T.,1,,
E.B.G's.,1,,
of.,1,,
V[rsula].,1,,
Dat.,1,,
Cal.,1,,
M.D.C.LXXVII.,1,,
Felton.,1,,
printedF.B.,1,,
AN.,1,,
Howel.,1,,
O[oulton].,1,,
B[riscoe].,1,,
Chrd.,1,,
typographis.,1,,
Tuckey.,1,,
[L.C.,1,,
Walbancke.,1,,
Ormond-Key.,1,,
Speed.,1,,
M.DC.LXXXVIII.,1,,
Impr.,1,,
O[wsley].,1,,
angl.,1,,
B[ishop?].,1,,
Greensmeth.,1,,
W[illiams].,1,,
Poultery.,1,,
D.N[ewman].,1,,
T.C[ollins].,1,,
Grubstreet.,1,,
T[yton].,1,,
Buriensis.,1,,
W.F.,1,,
I..,1,,
L[eyborn].,1,,
T[homas].P[aine].,1,,
J[chabod].,1,,
school.,1,,
door.,1,,
P.D.,1,,
T.W[arren].,1,,
M.DC.LXXXIII.,1,,
J[ohnathan].,1,,
R[edman].,1,,
Muguet.,1,,
N[ewberry].,1,,
Maplisden.,1,,
F[incham].,1,,
G[ardiner].,1,,
T.C[hilde].,1,,
Charing-cross.,1,,
Southward.,1,,
subS.,1,,
Sowle.,1,,
vico.,1,,
G.D[awson].,1,,
Black-fryers.,1,,
Ship-Lane.,1,,
Guilel.,1,,
