"","x"
"5721","Printed by M. Simmons for William Adderton, and are to be sold at his shop"
"5722","printed for Anthony VVilliamson and are to be sold at the sign of the Queens Arms in St. Pauls Church-yard"
"5723","printed for George Badger, and are to be sold at his shop, in St Dunstans Church-yard in Fleetstreet"
"5724","printed for John Clark, and are to be sold at his shop under S. Peters Church in Corn-hill"
"5725","printed by T[homas]. H[arper]. for John Benson, and John Playford, and are to be sold at their shops in Dunstans Church-Yard, and in the Inner Temple, neare the church doore"
"5726","printed by W. Godbid, for John Playford, and are to be sold at his shop in the Temple"
"5727","printed for W. Crooke, at the signe of the Green Dragon without Temple-bar. 1679. And are to be sold at the Bible in Westminster-Hall"
"5728","printed by T[homas]. H[arper]. for John Playford, and are to be sold at his shop, in the Inner Temple, near the church door"
"5729","printed for Robert Wilson, and are to be sold at his shop at the Black-spread Eagle and Windmill in Martins Le Grand and also by Richard Moon book-seller in Wine-Street in Bristol"
"5730","printed for Giles Calvert, and are to be sold at the Black-Spread-Eagle at the west-end of Pauls"
"5731","printed for John Stephenson, and are to be sold at his shop on Ludgate hill, at the sign of the Sun"
"5732","Printed for Thomas Walkeley, and are to be sold at his shop, at the signe of the flying Horse, between Brittains Bursse, and Yorke House"
"5733","printed for J. Gyles, and are to be sold at his shop at Furnivals-Inne"
"5734","printed by Joseph Ray, and are to be sold at his shop in Skinner Row, over-against the Tholsel"
"5735","printed for Nathaniel Brooks and are to be sold at the Angel in Cornhil"
"5736","printed by John Field for Thomas Slater and are to be sold at the Swan in Duck-lane"
"5737","printed by W[illiam]. R[awlins]. for J[ohn]. Hancock, to be sold at his shop over-against Gresham-Colledge in Bishops-gate-Street next to the White Lyon, and at the first shop in Popes-Head-Alley, next to Cornhill"
"5738","printed by R. White, for John Hancock, and are to be sold at the Three Bibles, the first shop in Popes-head-Alley, next to Cornhil"
"5739","Printed for Giles Calvert and Dan. White, and are to be sold at the Black Spread-eagle at the West end, and at the Seven Stars on the North side of Pauls"
"5740","printed for Thomas Riland, and are to be sold at the Hand and Bible in Ducklane"
"5741","printed by W. Leybourn, for George Harlock, and are to be sold at his shop at Magnus Church-Corner, in Thames Street, near London-Bridge"
"5742","printed by I.N. for John Stafford, and are to be sold at his shop in Chancery lane, over against the Rolls"
"5743","printed for Thomas Walkley, and are to bee sold at his shop, at the signe of the flying horse, betweene Brittains Bursse, and Yorke House"
"5744","printed for William Franklin, and are to be sold at Norwich"
"5745","printed for John Hancock (brother to the late deceased Eliz. Moore) to be sold at the first shop in Popes-head-Alley, next to Cornhill. And for Thomas Parkhurst at the three Crowns over against the great Conduit at the lower [sic] of Cheapside"
"5746","printed for W. Weekley, and are to be sold at Ipswich"
"5747","printed for John Parker, and are to be sold at his shop in Pauls Churchyard, at the signe of the Sunne"
"5748","printed by Robert White for William Roybould, and are to be sold at the Unicorn in Pauls-Church-yard"
"5749","printed by Robert and William Leybourn, and are to be sold at most Book-sellers shops"
"5750","Amsterdam, printed by Luice Elsever [i.e. Gideon Lithgow], for Andrew Wilson, and are to be sold at his shop in Edinburgh"
"5751","printed for E.C. and are to be sold at the Golden Patten, near St. George's-Church in Southwark"
"5752","printed by R.W. for Francis Tyton, and are to be sold at the sign of the three Daggers in Fleet-street"
"5753","printed by Bernard Alsop, for Samuel Rand, and are to be sold at his shop at Holborn-Bridge"
"5754","printed by Matthew Simmons, for John Hancock and are to be sold at the first shop in Popes-head Alley, next to Corn-hill"
"5755","printed for Jacob Milner and are to be sold at his shop over against the end of Essex-Bridge in Essex-street"
"5756","printed for Michael Johnson, bookseller: and are to be sold at his shops in Litchfield and Uttoxiter in Stafford-shire; and Ashby-de-la-Zouch, Leicester-shire"
"5757","printed by W. Godbid, for E. Hurlock, [and are] to be sold at the Rose at the west end of"
"5758","printed for Stephen Degnal, and are to be sold at his shop in Alisbury, and at Leyton"
"5759","printed by Thomas Harper for Daniel Frere, and are to be sold at his shop, at the Red Bull in Little Brittaine"
"5760","printed for R. White, and J. Martin, and are to be sold at the sign of the Bell in St. Paul's Church-yard"
"5761","printed by J.W. for John Vallange, and sold at his shop a little above the Cross"
"5762","printed by J.O. for Samuel Rand, and are to be sold at his shop neare Holborne-Bridge"
"5763","printed by the heirs and successors of Andrew Anderson, printer to the King's most excellent Majesty, and are to be sold at their shop on the North-side of the Cross"
"5764","printed for J.C. and are to be sold at the Royal Exchange, and without Cripplegate"
"5765","printed for William Gay, and are to be sold at his shop in Hosherlane at the signe of the Axe"
"5766","printed by Patrick Neill and Company, and sold at his shop"
"5767","printed for Charles Webb, and are to be sold at the Bore's Head in St Paul's Church-yard"
"5768","printed for F. Grove, and are to be sold at his shop on Snow-hill"
"5769","printed by Tho. Milbourn for the authour, and are to be sold at the Golden Lyon in St. Pauls-Church-Yard"
"5770","printed by George Mosman, and are to be sold at his shop in the Parliament-Close"
"5771","printed by G. Miller for A. Kembe, and are to be sold at his shop at the Talbot-gate in Southwark"
"5772","To be sold at the Judges Head in Chancery-Lane, near Fleetstreet"
"5773","printed by Peter Cole; and are to be sold at his shop at the sign of the Printing-Press in Cornhil, neer the Royal Exchange"
"5774","printed by R. Oulton for Iohn Bartlet, and are to be sold at the signe of the gilt Cup, neare Saint Austins Gate"
"5775","for Michael Spark Senior, and are to be sold at the Blue-Bible in Green-Arbour"
"5776","Catalogues (price 6d.) are to be sold at Mr. Gillyflower's, in Westminster-Hall; Mr. Crouch's, at the corner of Pope's-Head Alley in Cornhill; Mr. Christopher Bateman, in Middle-Row in Holborn; Mr. Well's, at the Crown in Fleet-street; and at the Guilded Acron [sic], in St. Paul's Church-Yard: at which last place the books are now to be seen"
"5777","printed for John Clark, junior, and are to be sold at his shop in the Porch entring into Mercers Chappel"
"5778","printed by I. Riwarth, for Luke Fawne, and are to be sold at his shop, at the signe of the Parrot in Pauls Church-yard"
"5779","printed for John Franke, and are to be sold at his shop next door to the Kings-head Tavern in Fleet-Street"
"5780","printed by M[iles]. F[lesher]. for Iohn Marriot and Richard Marriot, and are to be sold at their shop in S. Dunstans Churchyard Fleetstreet, under the Dyall"
"5781","printed by M[iles]. F[lesher]. for Richard Royston, and are to be sold at his shop at the signe of the Angel in Ivie-Lane"
"5782","printed for Austin Rice, and are to be sold at the Crown in Saint Pauls Church-yard"
"5783","printed for Thomas Carruthers, and sold at hi [sic] shop in the Parliament Closs"
"5784","printed by Peter Cole in Leaden-Hall, and are to be sold at his shop, at the sign of the Printing-press in Cornhil, neer the Royal Exchange"
"5785","printed by R.I. for Tho. Newberry, and are to be sold at his shop at the three Golden Lions in Cornhil, neer the Royal Exchange"
"5786","printed by M.B. for the author, and are to be sold at his school in Fisher-street, adjoyning to Red-Lion-Square within Kings-Gate Holbourn"
"5787","printed for Samuel Keble, and are to be sold at the Great Turks head in Fleetstreet, over against Fetter-Lane-End"
"5788","printed by R.C. & R.H. for Daniel Frere, and are to be sold at his shop, at the Red Bull in Little Britaine"
"5789","printed for Mr. Henry Knox, John Vallange and Alexander Henderson, booksellers; to be sold at their shops"
"5790","printed for John Williams, and are to be sold at his shop at the signe of the Crown in Pauls Church-yard"
"5791","printed for Henry Overton, and are to be sold at his shop in Popes-head-Alley"
"5792","printed by R.H. for I. Rothwell, and are to be sold at his shop, at the signe of the Sunne, in S. Pauls CHurch-yard"
"5793","printed for Robert Gifford, and are to be sold at his shop in Old Bedlam, without Bishops-Gate"
"5794","Printed for J. Stafford & W. Gilbertson, and are to be sold at the George at Fleetbridge, and at the Bible in Giltspur street"
"5795","printed for Evan Tyler, Alexander Fifield, Ralph Smith, and John Field; and are to be sold at the sign of the Bible in Cornhill, neer the Royall-Exchange"
"5796","printed for Benjamin Harris, and are to be sold at his shop at the Stationers Arms in Sweetings Rents in Cornhil, near the Royal Exchange"
"5797","printed by J. Heptinstall, for Henry Playford at his shop in the Temple-Change, Fleetstreet, and for John Church, sold by Daniel Dring, at the Harrow and Crown at the corner of Cliffords-Inn-Lane in Fleetstreet. And also sold at Oxford by Francis Dollife book-binder, who sells all other musick-books"
"5798","printed by J. Heptinstall, for Henry Playford at his shop in the Temple-Change, Fleetstreet, where the first volume is to be had; also a new book for the flute, being the best and easiest instructions yet publish'd. And sold at Oxford by Francis Dollife book-binder, who sells all other musick-books"
"5799","printed by E. Cotes, for Richard Lownes, and are to be sold at the White-Lion in St. Paul's Churchyard"
"5800","printed by E. Okes, for Richard Lownds, and are to be sold at the White Lyon in Duck-Lane"
"5801","printed for Edward Thomas, and are to be sold at the Adam and Eve in Little Britain"
"5802","printed by George Swintown, and James Glen, and are to be sold at their shops in the Parliament-Yard"
"5803","printed for Peter Parker, and are to be sold at his shop under Creed-Church near Aldgate"
"5804","printed by E.G. for J. Rothwell, and are to be sold at his shop on the north-side of Pauls"
"5805","printed for W.A. and are to be sold at the Royal Exchange, and in Pauls Church-yard"
"5806","for Michael Spark Senior, and are to be sold at the Blue-Bible in Green-Arbour"
"5807","printed for Randolph Tayler, and are to be sold at the three Crowns in Little-Brittain"
"5808","printed by Tho. Broad, and are to be sold at his shop near Common-Hall-Gates"
"5809","printed for Thomas Vere, and are to be sold at his shop, at the sign of the Angel, without Newgate"
"5810","printed by John Brent at the Hercules-Pillars in Essex-street, for Jacob Milner; and are to be sold at his shop over against the end of Essex-Bridge"
"5811","printed by Thomas Braddyll, and Robert Everingham, and are to be sold at the Seven Stars in Ave-Mary-Lane"
"5812","printed for Tho. Bates, and are to be sold at his shop in the old Baily"
"5813","printed by M. Simmons, for John Hancock, and are to be sold at the first shop in Popes-head-Alley, next to Cornhill"
"5814","printed by J. Leake, for the author; and are to be sold at his lodging at the checquer in Broken-Cross, Westminster; and by Edward Poole, at the Ship, over against the Royal Exchange, in Cornhill"
"5815","printed for Edw. Husbands, printer to the honorable House of Commons, and are to be sold at his shop at the signe of the Golden Dragon in Fleetstreet, neer the Inner-Temple"
"5816","printed by M[iles]. F[lesher]. for John Clark, and are to be sold at his shop under S. Peters Church in Cornhill"
"5817","printed for Thomas Downes, and Andrew Crook, and are to be sold at the green Dragon in St. Pauls Church-yard"
"5818","Printed for John and Tho. Browne, and sold at their shop at the Sphere and Sun Dial in the Great Minories, London"
"5819","printed by J.D. for John Brown and Rob. Morden, and sold at the Sphere and Sun-Dial in the Minories, and Atlas in Cornhil"
"5820","printed by J. Brudenell for John Bartlet, and are to be sold at his shop at the signe of the Gilt Cup, near St. Austins gate in Pauls Church-yard"
"5821","printed (as truly by Evan Tyler, printer to the Kings most Excellent Maj[e]stie, as were the Scotch papers, lately published in London) and are to be sold at the most solemne signe of the Blew-Bonnet, right opposite to the two Houses of Parliament"
"5822","printed for Luke Fawn, and are to be sold at his shop at the sign of the Parrat in Pauls Church yard"
"5823","printed by J.Y. for Thomas Walkley, and are to be sold at his shop, at the signe of the golden Pestle and Mortar, neer York House"
"5824","printed by A.N. for Ed. Husbands. and I. Franke, and are to be sold at their shops in the middle Temple, and the next doore to the Kings Head in Fleetstreet"
"5825","printed for Edw. Husbands, and are to be sold at his shop in the Middle-Temple"
"5826","printed by T.M. for Stephen Chatfield, and are to be sold at his shop in the middle of St. Dunstans Church-yard in Fleet-street"
"5827","printed by M. Simmons, for Thomas Jenner; and are to be sold at his shop at the south entrance of the Royal Exchange"
"5828","printed for John Hancock, senior and junior, and are to be sold at the Three Bibles, being the first shop in Popeshead-Alley next to Cornhill"
"5829","printed for Thomas Smith, and are to be sold at his shop in Manchester"
"5830","printed by G. Dawson, for Andrew Crook, and are to be sold at the sign of the Green Dragon in Pauls-Church-yard"
"5831","printed for Robert Clark, and are to be sold at his shop under S. Botolph's Church without Bishopsgate"
"5832","printed by Simon Dover, and are to be sold at his house in Christophers Alley, in Martins Le Grand"
"5833","printed by W.G. for G. Hurlock, and are to be sold at his shop over against St. Magnus Church on London-Bridge near Thames-Street"
"5834","Printed for Thomas Malthus, and are to be sold at his shop, at the Sun in the Poultry"
"5835","printed for Robert Horn, and are to be sold at the south entrance of the Royal Exchange"
"5836","re-printed for Jacob Milner; and are to be sold at his shop in Essex-street"
"5837","printed by George Mosman, and are to be sold at his shop in the Parliament closs"
"5838","printed for Edward Husbands and John Franck, and are to be sold at their shops in the Middle Temple, and next door to the Kings head in Fleet-street"
"5839","printed for Edward Husbands and John Franck, and are to be sold at their shops, in the Middle Temple, and next door to the Kings head in Fleet-street"
"5840","printed for Iohn Stafford, and are to be sold at his House, at the George at Fleet-bridge"
"5841","printed for Richard Tomlins, and are to be sold at his house at the signe of the Sun and Bible in Pye-corner"
"5842","reprinted for Patrick Campbell, and are to be sold at his shop in Skinner-Row"
"5843","printed by Mary Thompson, and are to be sold at the entrance into Old-Spring-Garden near Charing-Cross"
"5844","printed by W.B. for T. Davis, and are to be sold at his shop in St. Pauls Church-yard at the signe of the Bible over against the little North door"
"5845","printed by Robert Bryson, and are to be sold at his shop, at the signe of Jonah"
"5846","printed by M[ary]. S[immons]. for Elisha Wallis, and are to sold at his shop at the Guilded Horshooe in the Old Bayly"
"5847","printed for Jo. Crook and Jo. Baker, and are to be sold at the sign of the ship in St. Paul's Church-yard"
"5848","printed for Peter Cole, and are to be sold at his shop, at the sign of the Printing-Press in Corn-hil, neer the Royal Exchange"
"5849","Sold at the Hope and Anchor in Patrick-Street; Dublin"
"5850","printed for the author, and are to be sold at the Black-Spread Eagle at the West-End of Pauls"
"5851","Printed at Aberdene, and imprinted at Glasgow, by Robert Sanders, printer [...] town, and are to be sold at his shop"
"5852","printed for Thomas Bates, and are to be sold at his shop in the Old Bayly"
"5853","printed for L. Chapman, and are to be sold at his shop the next doore to the Fountain-Taverne in the Strand"
"5854","printed for John Hancock (brother to Eliz. Moore) to be sold at his shop in Popes-head Alley in Cornhill. And for Thomas Parkhurst at the Bible and three Crowns in Cheapside"
"5855","printed for Laurence Blaiklock, and are to be sold at his shop near Temple-Bar"
"5856","printed by W.H. for George Lathum, and are to be sold at his shop at the signe of the Bishops head in Pauls Church-yard"
"5857","printed for Obadiah Blagrave, and are to be sold at his shop at the Bear in Paul's Church-yard"
"5858","printed for R. Harford, and are to be sold at his shop at the Angel in Cornhill"
"5859","printed by S.G for J. Kirton, and are to be sold at the Kings Arms in St. Pauls Church-yard"
"5860","for G. Horton, and are to be sold at the Royall Exchange in Cornwall"
"5861","printed for Tho. Davies and Theo. Sadler, and is to be sold at the sign of the Bible over against the little North-door of St. Pauls-Church"
"5862","printed by Andrew Crook assignee of Ben. Tooke, printer to Their Majesties, and are to be sold at his house on Ormonde-Key, and by the booksellers of Dublin"
"5863","printed for Mathew VValbanck and Richard Best, and are to be sold at Grayes Inne Gate"
"5864","entred, and printed for Thomas Newcomb, John Starkey, and Robert Pawley, and are to be sold at the Rainbow in Fleetstreet"
"5865","printed by J.R. for Philem. Stephens, and are to be sold at his shop at the gilded-Lion in Pauls Church-yard"
"5866","printed for Luke Fawne, and are to be sold at his shop at the sign of the Parrot in Pauls Church-yard"
"5867","printed for John Rothwel and T. Maxey, and sold at the Bear and Fountain in Cheap-side, and by Joseph Barber at the Lamb in the new buildings [in Pauls Churchyard]"
"5868","printed by T. Harper, for John Williams, and are to be sold at the Holy Lamb in Pauls Churchyard"
"5869","printed by Thomas Harper, for Richard Harper, and are to be sold at his shop in Smithfield"
"5870","printed by Andrew Crook and Samuel Helsham assigns of Benjamin Tooke, printer to the King's most excellent Majesty; and are to be sold at Ormonde-Key, and at the Colledge-arms in Castle-street"
"5871","printed for Tho. Parkhurst, and are to be sold at the sign of the Bible and Three Crowns in Cheapside"
"5872","printed by Andrew Crook and Sam. Helsham, and are to be sold at the Colledge-arms in Castle-street"
"5873","printed by A.N. for I.R. and are to be sold at his shop in Pauls Church-yard"
"5874","printed for John Martyn, and are to be sold at the Bell in St. Paul's Church-yard"
"5875","printed by Robert White, for Henry Mortlock, and are to be sold at his shop at the sign of the White Hart in Westminster Hall"
"5876","printed by Joseph Moxon, and are to be sold at his shop at the sign of the Atlas on Ludgate-hill"
"5877","by R.C. for Samuel Cartwright, and are to be sold at the hand and Bible in Duck-lane"
"5878","printed for Robert Bostock, and George Badger, and are to be sold at the Kings-Head in Pauls-Church-yard; and in St. Dunstans Church-yard in Fleet-street"
"5879","printed by D. Maxwell, for William Lee, Daniel Pakeman, and Gabriel Bedell, and are to be sold at their shops in Fleet street"
"5880","printed by Matthew Simmons, for John Sweeting, and are to be sold at his shop, at the Angel in Popes-head Alley"
"5881","printed by Jane Bell, and are to be sold at the east end of Christ-Church"
"5882","printed by T.H. for John Saywell, and are to be sold at his shop in Little-Britaine without Aldersgate, at the sign of the Greyhound"
"5883","printed for Tho. Parkhurst, and are to be sold at his shop at the Bible and Three-Crowns in Cheapside"
"5884","Printed by A.N. for Richard Lowndes, and are to be sold at his shop without Ludgate"
"5885","printed for Richard Marriot, and are to be sold at his shop in St. Dunstans Church-yard Fleetstreet"
"5886","printed for William Thackeray, and are to be sold at his shop, at the [...] near Smithfield"
"5887","printed for Edw. Husband, printer to the Honorable House of Commons,and are to be sold at his shop at the signe of the Golden Dragon in Fleetstreet, neer the Inner Temple"
"5888","printed by the heirs and successors of Andrew Anderson, printer to the King's most Excellent Majesty; and are to be sold at their shop"
"5889","Printed by and for C. Brown, and T. Norris, and sold at the Looking-glass on London-bridge"
"5890","and are to be sold at the seven Stars, in Paul's Church-yard"
"5891","printed for Thomas Underhill, and are to be sold at the signe of the Bible in Woodstreet"
"5892","printed J.C. and are to be sold at the two Bibles, at the west end of Pauls Church-yard"
"5893","printed for G.S. and are to be sold at the Oxford-Arms in Warwick-lane"
"5894","printed for Fra: Kirkman, and are to be sold at his shop in Thames-street, over against the Custom-House"
"5895","Dublin, printed by John Crook printer to the Kings most excellent Majesty: re-printed at London, and are to be sold at the Ship in Saint Pauls Church-yard"
"5896","printed by Henry Hills, printer to the King's most excellent Majesty for his houshold and chappel; and are sold at his printing-house on the ditch-side in Black-Friars"
"5897","printed for John Bartlet, and are to be sold at Austins gate"
"5898","by R[obert]. I[bbitson] for F. Smith, and are to be sold at his shop in Flying Horse Court in Fleet-street, [ ]"
"5899","printed for John Bartlet, and are to be sold at the signe of the Gilt-Cup in Pauls Church-yard, neer to Austins Gate"
"5900","printed by Robert Sanders, and are to be sold at his shop"
"5901","printed for Stephen Bowtell, and are to be sold at his shop at the sign of the Bible in Popes-head alley"
"5902","printed [by W. Wilson] for Robert Crofts, and are to be sold at his shop, at the Crown in Chancery lane, under Sergeants Inne"
"5903","printed by A. VVarren, for Joshua Kirton, and are to be sold at the sign of the Kings Arms in St. Pauls Church-yard"
"5904","printed for William Larnar, and are to be sold at his shoppe at the signe of the golden Anchor neere Pauls-Chaine"
"5905","printed for George Hurlock, and are to be sold at his shop"
"5906","printed by John Reid, and sold at his printing-house in Bell's-Wynd"
"5907","printed by M[iles]. F[lesher]. for John Clark, and are to be sold at his shop under S. Peters Church in Cornhill"
"5908","printed by R[ichard]. C[otes]. for A. Crook, and are to be sold at his shop at the sign of the Green Dragon in Pauls Churchyard"
"5909","printed for Daniel Pakeman, and are to be sold at the Rain-bow in Fleet-street"
"5910","By S. Griffin, for Joshuah Kirton, and are to be sold at his shop"
"5911","printed for John Martyn, printer to the royal Society, and are to be sold at his shop at the Bell a little without Temple Barr"
"5912","printed for T[homas]. Vere and J[ohn]. Wright, and are to be sold at their shops at the Angel without Newgate, and next door to the Globe in Little Brittain"
"5913","printed for A[nne]. Mosely and John Crook, and are to be sold at the Princes-Arms, and at the Ship in St. Paules Church-yard"
"5914","printed for Benjamin Harris, and are to be sold at his shop at the Stationers Arms, in the Piazza of the Royal Exchange in Cornhill"
"5915","Printed by Robbt [sic] Sanders Printer to the Town of Glasgow, and are to Sold at his Shop"
"5916","printed for John Bartlet, and are to be sold at the {...} in St. Pauls Church-yard near St. Augustines gate"
"5917","by Andrew Anderson, and are to be sold at his house"
"5918","printed by R[ichard]. Hodgkinson, and are to be sold at his house over against Baynard-Castle in Thames-street"
"5919","printed for G[abriel]. Bedell and partners and are to be sold at their shop, at the Middle-Temple-gate, in Fleetstreet"
"5920","printed for William Jacob, and are to be sold at his shop at Bernards-Inn-Gate in Holborn"
"5921","printed for Henry Twyford, and are to be sold at his Shop in Vine-Court Middle-Temple, and Nath. Brooks at the Angel in Cornhill"
"5922","printed by Henry Hills, printer to the Kings most excellent Majesty, for His houshold and chappel; and are to be sold at his printing-house on the Ditch-side in Black-Fryers"
"5923","printed by J. M[acock]. for Luke Favvne, and are to be sold at his shop at the parrot ni [sic] pauls Church-yard"
"5924","Printed by R.W. for T. Brewster, and G. Moule, and are to be sold at the three Bibles at the West-end of Pauls"
"5925","printed by Andrew Sowle, and sold at his shop in Devonshire new-buildings, without Bishops-Gate"
"5926","printed for W. [William] Rawlins, T. [Thomas] Dring, J. J. J. [John] Place, and the executors of S. [Susanna] Leigh: and are to be sold at the Harrow in Fleet-street, and at Furnivals-Inn-Gate in Holborn"
"5927","Printed for J. Conyers and W. P. and are to be sold at the Black Raven in Duck-Lane"
"5928","printed by J[ames]. Y[oung]. for Joseph Hunscot and George Calvert, and are to be sold at the Stationers Hall, at the Golden Fleece in the Old Change"
"5929","Printed at London by M. B[ell]. for Christopher Meridith, and are to be sold at his shop at the signe of the Crane in Pauls Church-yard"
"5930","printed for J. Gyles, and are sold at his shop at Furnivals-Inne"
"5931","printed for I[ohn]. Gyles, and are sold at his shop at Furnivals-Inne"
"5932","printed by W.G. for John Benson, and John Playford, and to be sold at their shop in St. Dunstan's Churchyard, and in the Inner Temple near the church-dore"
"5933","printed for Henry Mortlock, and James Collins, and are to be sold at their shops at the White-hart and Kings-head in Westminster-hall"
"5934","printed by F.N. for Francis Eglesfield, and are to be sold at the Marygold in S. Paul's Church-yard"
"5935","and are to be sold at the three Pigeons in Pauls Church-yard; at Mr. Dunkoms in little Brittain over against the Church; at the Unicorne on Ludgate Hill, and in Popes-Head Alley"
"5936","printed for Rob. Pricke, to be sold at his shop adjoyning to Cripplegate within: where likewise is very good choice of Italian, French, Dutch and English prints"
"5937","printed by S[arah]. G[riffin]. and B[ennet]. G[riffin]. for James Collins, and are sold at the Kings Arms in Ludgate-street"
"5938","printed for John Williams and Francis Eglesfield, and are to be sold at the Crown, and at the Marigold in St. Paul's Church-Yard"
"5939","By Tho. Moore, for Mr. John Banister; and are to be sold at his house in Brownlow-Street in Drury-Lane; Mr. Carr's shop, near Temple-Barr, Mr. Playfords in the Temple, and most of the musick shops about the town"
"5940","printed for J[ohn]. Jones and are to be sold at the Royal Exchange in Corn-hill"
"5941","Printed for W. Lee junior, and are to be sold at his shop in Chancery lane, a little above Crown-Court next the Bell"
"5942","printed by F. L[each]. for Michaell Sparke Senior, and are to bee sold at the Blew-Bible in Green-Arbour"
"5943","printed by Joseph Moxon: and sold at his shop on Corn-hill, at the signe of Atlas"
"5944","printed for John Martyn, and are to be sold at the Bell a little without Temple-Bar"
"5945","printed for Samuel Keble and are to be sold at the Great Turks-Head in Fleetstreet over against Fetter-Lane end"
"5946","printed for Samuel Keble, and are to be sold at the TurksHead in Fleetstreet, an by J. Philips at the Seven-Stars in St. Paul's Church-yard, and H. Rhodes next door to the Swan Tavern near Bridelane in Fleetstreet"
"5947","printed for Francis Grove, and are to be sold at his shop on Snow-hill near the Sarazens-head"
"5948","printed for Fra[ncis]: Kirkman, and are to be sold at his shop in Thames-street, over against the Custom-House"
"5949","printed for Thomas Nicholes, and are to be sold at his shop, at the signe of the Bible in Popes-head Alley"
"5950","printed by W[illiam]. G[odbid]. for George Hurlock, and are to be sold at his shop at St. Magnus-Church, at the hither end of London-Bridge, neer Thames-street"
"5951","printed by Robert and William Leybourn, for George Hurlock, and are to be sold at his shop"
"5952","printed by A[nne]. Maxwel for William Lee, and are to be sold at his shop in Fleet-street, at the sign of the Turks-head, near the Miter-tavern"
"5953","Printed at Rotterdam by Henry Tuthill, and are to be sold at his shop in Rotterdam upon the Iron Bridge"
"5954","printed by T[homas]. C[hilde]. and are to be sold at the Fountaine in Goldsmiths-row in Cheapside"
"5955","printed for Thomas Dring, and are to be sold at his shop at the George in Fleetstreet, neer St. Dunstan's Church"
"5956","printed by T. W[arren]. and T. R[oycroft]. for John Place, and are to be sold at his shop at Furnivalls Inne Gate in Holborne"
"5957","printed by Henry Hills, printer to the King's Most Excellent Majesty, for his houshold and chappel; and are sold at his printing-house on the Ditch-side in Black-Fryers"
"5958","printed for Richard Best, John Place, and Samuel Cartwright and are to be sold at the Graies Inn and Furnivalls Inn gates in Holborn, and at the hand and Bible in Duck-lane"
"5959","printed for Richard Marriot, and are to be sold at his shop in St. Dunstans Church-yard Fleetstreet"
"5960","printed for John Stafford, and are to be sold at his house at the George at Fleet-bridge"
"5961","printed for Iohn Wright, and are to be sold at his shop in Gilt-Spurre street at the signe of the Bible without Newgate"
"5962","For Benjamin Allen, and are to be sold at his shop"
"5963","printed by Henry Hills, and are to be sold at the sign of Sir Iohn Old-Castle in Pye-Corner"
"5964","printed for Giles Calvert, and are to be sold at his shop at the Black Spread-Eagle at the west end of Pauls"
"5965","printed by E[dward]. O[akes]. for the author, and are to be sold at his house near the Wind-mills, next door to the three Colts: with more than forty other pieces, by the same author"
"5966","printed by J. G. for the author, and are to be sold at his house at the Rising Sun and Globe in upper Morefields"
"5967","printed by S. Dover, for Stephen Dagnall, and are to be sold at his shop in Alisbury, and at Leyton; and by L. Lloyd, next to the Castle in Cornhill"
"5968","Printed by M. S[immons]. for H. Overton, are to be sold at his shop, at the entring into Popes-Head-Alley, out of Lombard-Street"
"5969","printed by F: N[eile]. for Toby Langford, and are to be sold at his shop in Gloucester"
"5970","printed and are to be sold at the Latine Coffee House near the stocks"
"5971","printed by J[ames]. C[ottrell]. for Matthew Smelt, and are to be sold at his shop, next to the Castle near Moor-gate"
"5972","by J[ames]. L[indsay]. for Andrew Wilson, and are to bee sold at his shop, on the south side of high Streete, a little above the crosse"
"5973","Printed by Joseph Moxon, and sold at his shopin Russel street, at the sign of Atlas"
"5974","printed for Giles Calvert, and are to be sold at the Black-Spread-Eagle at the West end of Pauls"
"5975","printed by E.M. for Nathanael Webb, and are to be sold at his shop, at the sign of the Royal Oak in St. Pauls Church-yard, near the little North door"
"5976","By T. R[oycroft]. for Tho. Dring, and John Place, and are to be sold at the George near Cliffords-Inne, and Furnivallls-Inne-Gate in Holborn"
"5977","printed by Peter Cole in Leaden-Hall, and are to be sold at his shop at the sign of the Printing-Press in Cornhil, neer the Royal Exchange"
"5978","Printed for G.R. and are to be sold at the Royal Exchange"
"5979","Printed, and sold at the author's house, and by Walter Kettilby"
"5980","printed by George Mosman, and are to be sold at his shop in the Parliament-Closs"
"5981","printed for John Stafford, and are to to [sic] be sold at his house in Black-horse-Alley, Fleetstreet"
"5982","printed for Robert Smith, and are to be sold at the Crane in Pauls Church-yard"
"5983","printed for Nathanael Ekins, and are to be sold at his shop, at the Gun in Paul's Church-yard"
"5984","printed for the author, and are to be sold at the Royall Exchange, and at Westminster"
"5985","printed for Thomas Nicholes, and are to bee sold at his shop, at the signe of the Bible in Popes-head alley"
"5986","printed for Thomas Nicholes, and are to bee sold at his shop, at the signe of the Bible in Popes-head Alley"
"5987","printed and sold at the author's printing-house, next door to the Fleece in St. Nicholas-street"
"5988","printed for A.W. and are to be sold at the signe of the Bell in St. Pauls Church-yard"
"5989","printed for John Martyn, and are to be sold at Will. Faithornes without Temple Bar"
"5990","Printed for Edward Husbands, formerly printer to the honorable House of Commons, and sold at the Golden-Dragon in Fleetstreet"
"5991","printed for Giles Calvert, and are to be sold at the signe of the Blackespread-Eagle at the west end of Pauls"
"5992","printed for Samuel Keble and are to be sold at the Great Turks-Head in Fleetstreet over-against Fetter-Lane end"
"5993","Printed for Samuel Keble aud [sic] are to be sold at the Great Turks-Head in Fleetstreeet [sic]; over against Fetter-Lane-end"
