"publisher_orig_data","verb","target_string","person","person_type","place","place_prefix","actor_type"
"Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","stringstart","Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","Carolum Dilly","unknown",NA,NA,"unk"
"Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","stringstart","Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","Richardson","unknown",NA,NA,"unk"
"Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","stringstart","Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","Urquhart","unknown",NA,NA,"unk"
"Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","stringstart","Venalia prostant - Edinburgi, apud Gulielmum Gordon et Robertum Murray; - Londini, apud Carolum Dilly, nec non Richardson et Urquhart, Bibliopolas","Bibliopolas","unknown",NA,NA,"unk"
"bey J. Downing, in Bartholomew-Close bey West-Smithfield",NA,"bey J. Downing, in Bartholomew-Close bey West-Smithfield",NA,NA,NA,NA,NA
"printed for G. and A. Ewing, at the Angel and Bible, in Dame-Street",NA,"G. and A. Ewing, at the Angel and Bible, in Dame-Street",NA,NA,NA,NA,NA
"printed for J. Roberts near the Oxford Arms in Warwick-Lane","printed for","J. Roberts near the Oxford Arms in Warwick-Lane","J. Roberts","person","Oxford Arms in Warwick-Lane","near the","print"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed, and sold by R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","sold by","R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","R. Griffiths","person","Dunciad in St. Paul's Church-Yard","at the","sell"
"printed, and sold by R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","sold by","R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","J. Swan","person","Northumberland-House in the Strand","near","sell"
"printed, and sold by R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","printed and sold by","R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","R. Griffiths","person","Dunciad in St. Paul's Church-Yard","at the","print_sell"
"printed, and sold by R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","printed and sold by","R. Griffiths, at the Dunciad in St. Paul's Church-Yard; J. Swan, near Northumberland-House in the Strand; and by the editor, at Dr. Garth's Head in Cavendish-Street","J. Swan","person","Northumberland-House in the Strand","near","print_sell"
"printed for W. Reeve, at Shakespear's Head, Fleet-Street","printed for","W. Reeve, at Shakespear's Head, Fleet-Street","W. Reeve","person","Shakespear's Head , Fleet-Street","at","print"
"Philadelphia, printed: London, reprinted, for C. Dilly, in The Poultry","stringstart","Philadelphia, printed: London, reprinted, for C. Dilly, in The Poultry",NA,NA,"Philadelphia",NA,"unk"
"Philadelphia, printed: London, reprinted, for C. Dilly, in The Poultry","stringstart","Philadelphia, printed: London, reprinted, for C. Dilly, in The Poultry",NA,NA,"London",NA,"unk"
"Philadelphia, printed: London, reprinted, for C. Dilly, in The Poultry","stringstart","Philadelphia, printed: London, reprinted, for C. Dilly, in The Poultry","C. Dilly","person","Poultry","in The","unk"
"printed for R. Baldwin and W. Reeve","printed for","R. Baldwin and W. Reeve","R. Baldwin","person",NA,NA,"print"
"printed for R. Baldwin and W. Reeve","printed for","R. Baldwin and W. Reeve","W. Reeve","unknown",NA,NA,"print"
"printed for the writer, and sold by J. Bell, British Library, Strand","sold by","J. Bell, British Library, Strand","J. Bell","person","Strand",NA,"sell"
"printed for the writer, and sold by J. Bell, British Library, Strand","sold by","J. Bell, British Library, Strand","British Library","unknown","Strand",NA,"sell"
"printed for J. Whiston and B. White, and R. Baldwin","printed for","J. Whiston and B. White, and R. Baldwin","J. Whiston","person",NA,NA,"print"
"printed for J. Whiston and B. White, and R. Baldwin","printed for","J. Whiston and B. White, and R. Baldwin","B. White","person",NA,NA,"print"
"printed for J. Whiston and B. White, and R. Baldwin","printed for","J. Whiston and B. White, and R. Baldwin","R. Baldwin","unknown",NA,NA,"print"
"printed for Alexander Ewing, in Dame-Street","printed for","Alexander Ewing, in Dame-Street","Alexander Ewing","person","Dame-Street","in","print"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, [and 3 others in London]","printed for","J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, and 3 others in London","J. Whiston","person","London","in","print"
"printed for J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, [and 3 others in London]","printed for","J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, and 3 others in London","J. Rivington","person","London","in","print"
"printed for J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, [and 3 others in London]","printed for","J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, and 3 others in London","B. White","person","London","in","print"
"printed for J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, [and 3 others in London]","printed for","J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, and 3 others in London","R. Horsfield","person","London","in","print"
"printed for J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, [and 3 others in London]","printed for","J. Whiston, J. Rivington, B. White, R. Horsfield, T. Longman, and 3 others in London","T. Longman","person","London","in","print"
NA,NA,"NA",NA,NA,NA,NA,NA
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for J. Cooke, at Shakespeare's Head, in Pater-Noster-Row","printed for","J. Cooke, at Shakespeare's Head, in Pater-Noster-Row","J. Cooke","person","Shakespeare's Head , in Pater-Noster-Row","at","print"
"et se trouve à Paris, chez Méquignon",NA,"et se trouve à Paris, chez Méquignon",NA,NA,NA,NA,NA
"Printed by T. Bensley, London","printed by","T. Bensley, London","T. Bensley","person","London",NA,"print"
"Printed by John Oliver, in Bartholomew-Close, near West-Smithfield","printed by","John Oliver, in Bartholomew-Close, near West-Smithfield","John Oliver","person","Bartholomew-Close , near West-Smithfield","in","print"
"Sold by J. Buckland, at the Buck in Pater Noster Row, and C. Henderson, under the Royal Exchage","sold by","J. Buckland, at the Buck in Pater Noster Row, and C. Henderson, under the Royal Exchage","J. Buckland","person","Buck in Pater Noster Row , and C. Henderson , under the Royal Exchage","at the","sell"
NA,NA,"NA",NA,NA,NA,NA,NA
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for Bernard Lintot, at the Cross-Keys near the Temple-Gate, Fleetstreet","printed for","Bernard Lintot, at the Cross-Keys near the Temple-Gate, Fleetstreet","Bernard Lintot","person","Cross-Keys near the Temple-Gate , Fleetstreet","at the","print"
"printed for the author; and sold by G. G. J. and J. Robinson, Paternoster-Row","sold by","G. G. J. and J. Robinson, Paternoster-Row","G. G. J.","person","Paternoster-Row",NA,"sell"
"printed for the author; and sold by G. G. J. and J. Robinson, Paternoster-Row","sold by","G. G. J. and J. Robinson, Paternoster-Row","J. Robinson","person","Paternoster-Row",NA,"sell"
"Printed for J. Brindley at the King's-Arms in New-Bond-Street; and sold by J. Roberts in Warwick-Lane; J. Wilford behind the Chapter-House, near St. Paul's; E. Nutt under the Royal-Exchange; and A. Dodd without Temple-Bar","printed for","J. Brindley at the King's-Arms in New-Bond-Street; and","J. Brindley","person","King's-Arms in New-Bond-Street","at the","print"
"Printed for J. Brindley at the King's-Arms in New-Bond-Street; and sold by J. Roberts in Warwick-Lane; J. Wilford behind the Chapter-House, near St. Paul's; E. Nutt under the Royal-Exchange; and A. Dodd without Temple-Bar","sold by","J. Roberts in Warwick-Lane; J. Wilford behind the Chapter-House, near St. Paul's; E. Nutt under the Royal-Exchange; and A. Dodd without Temple-Bar","J. Roberts","person","Warwick-Lane","in","sell"
"Printed for J. Brindley at the King's-Arms in New-Bond-Street; and sold by J. Roberts in Warwick-Lane; J. Wilford behind the Chapter-House, near St. Paul's; E. Nutt under the Royal-Exchange; and A. Dodd without Temple-Bar","sold by","J. Roberts in Warwick-Lane; J. Wilford behind the Chapter-House, near St. Paul's; E. Nutt under the Royal-Exchange; and A. Dodd without Temple-Bar","J. Wilford","person",NA,NA,"sell"
"Printed for William Creech; and sold by T. Cadell, and T. Longman, London","printed for","William Creech; and","William Creech","person",NA,NA,"print"
"Printed for William Creech; and sold by T. Cadell, and T. Longman, London","sold by","T. Cadell, and T. Longman, London","T. Cadell","person","London",NA,"sell"
"Printed for William Creech; and sold by T. Cadell, and T. Longman, London","sold by","T. Cadell, and T. Longman, London","T. Longman","person","London",NA,"sell"
"printed by S. Powell, for G. and A. Ewing, and W. Smith, in Dame-Street and G. Faulkner, in Essex-Street, Booksellers","printed by","S. Powell, for G. and A. Ewing, and W. Smith, in Dame-Street and G. Faulkner, in Essex-Street, Booksellers","S. Powell","person",NA,NA,"print"
"printed for the author, and sold by P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","sold by","P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","P. Hill","person","Edinburgh",NA,"sell"
"printed for the author, and sold by P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","sold by","P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","J. Robertson","person","Edinburgh",NA,"sell"
"printed for the author, and sold by P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","sold by","P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","J. Marsom","person","London",NA,"sell"
"printed for the author, and sold by P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","sold by","P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","D. I. Eaton","person","London",NA,"sell"
"printed for the author, and sold by P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","sold by","P. Hill, and J. Robertson, Edinburgh; J. Marsom, and D. I. Eaton, London; and T. Dobson, Philadelphia","T. Dobson","person","Philadelphia",NA,"sell"
"printed for J. Roberts in Warwick-Lane","printed for","J. Roberts in Warwick-Lane","J. Roberts","person","Warwick-Lane","in","print"
"printed for J. Roberts","printed for","J. Roberts","J. Roberts","person",NA,NA,"print"
"Printed for J. Roberts, near the Oxford-Arms, in Warwick-Lane","printed for","J. Roberts, near the Oxford-Arms, in Warwick-Lane","J. Roberts","person","Oxford-Arms , in Warwick-Lane","near the","print"
"for J. Ridgway, NO. I, York-Street, St. James's Square","printed for","J. Ridgway, NO. I, York-Street, St. James's Square","J. Ridgway","person","York-Street , St. James's Square","NO. I","print"
"printed for J. Davis, and M. Cooper","printed for","J. Davis, and M. Cooper","J. Davis","person",NA,NA,"print"
"printed for J. Davis, and M. Cooper","printed for","J. Davis, and M. Cooper","M. Cooper","unknown",NA,NA,"print"
"printed for C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and sold by W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","printed for","C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and","C. Dilly","person","Poultry","in the","print"
"printed for C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and sold by W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","printed for","C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and","H. Murray","person","Fleet-Street",NA,"print"
"printed for C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and sold by W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","printed for","C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and","Vernor","unknown","London",NA,"print"
"printed for C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and sold by W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","printed for","C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and","Hood","unknown","London",NA,"print"
"printed for C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and sold by W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","sold by","W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","W. Tesseyman","person",NA,NA,"sell"
"printed for C. Dilly, in the Poultry; H. Murray, Fleet-Street; and Vernor and Hood, Birchin-Lane, Cornhill, London; and sold by W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","sold by","W. Tesseyman, York, and the booksellers of Oxford, Cambridge, Edinburgh, &c","York","unknown",NA,NA,"sell"
"printed for R. Francklin, in Russel-Street, Covent-Garden","printed for","R. Francklin, in Russel-Street, Covent-Garden","R. Francklin","person","Russel-Street , Covent-Garden","in","print"
"printed by and for George Faulkner","printed by and for","George Faulkner","George Faulkner","person",NA,NA,"print"
"printed by T. Rickaby","printed by","T. Rickaby","T. Rickaby","person",NA,NA,"print"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","stringstart","Dublin, printed: London,",NA,NA,"Dublin",NA,"unk"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","stringstart","Dublin, printed: London,",NA,NA,"London",NA,"unk"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","printed for","J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","J. Debrett","person","Holborn",NA,"print"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","printed for","J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","S. Gosnell","person","Holborn",NA,"print"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","printed for","J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","Little Queen Street","unknown","Holborn",NA,"print"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","reprinted for","J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","J. Debrett","person","Holborn",NA,"print"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","reprinted for","J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","S. Gosnell","person","Holborn",NA,"print"
"Dublin, printed: London, re-printed for J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","reprinted for","J. Debrett, Piccadilly, by S. Gosnell, Little Queen Street, Holborn","Little Queen Street","unknown","Holborn",NA,"print"
NA,NA,"NA",NA,NA,NA,NA,NA
"imprimé par T. Harrison et S. Brooke",NA,"imprimé par T. Harrison et S. Brooke",NA,NA,NA,NA,NA
"printed by G. Faulkner","printed by","G. Faulkner","G. Faulkner","person",NA,NA,"print"
NA,NA,"NA",NA,NA,NA,NA,NA
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for and sold by Nich. Cox at the Golden Bible without Temple-Bar","sold by","Nich. Cox at the Golden Bible without Temple-Bar","Nich. Cox","person","Golden Bible without Temple-Bar","at the","sell"
"printed for T. Osborne; and sold by J. Roberts","printed for","T. Osborne; and","T. Osborne","person",NA,NA,"print"
"printed for T. Osborne; and sold by J. Roberts","sold by","J. Roberts","J. Roberts","person",NA,NA,"sell"
"Printed in the year","stringstart","Printed in the year","Printed","person",NA,NA,"unk"
"printed for Ignatius Kelly","printed for","Ignatius Kelly","Ignatius Kelly","person",NA,NA,"print"
"printed for G. Kearsly, at No. 46, near Serjeant's-Inn, Fleet-Street","printed for","G. Kearsly, at No. 46, near Serjeant's-Inn, Fleet-Street","G. Kearsly","person","Serjeant's-Inn , Fleet-Street","at No. 46 , near","print"
"printed for Aaron Ward, in Little Britain; J. Oswald, in the Poultry; and H. Whitridge, at the Royal-Exchange","printed for","Aaron Ward, in Little Britain; J. Oswald, in the Poultry; and H. Whitridge, at the Royal-Exchange","Aaron Ward","person","Little Britain","in","print"
"printed for Aaron Ward, in Little Britain; J. Oswald, in the Poultry; and H. Whitridge, at the Royal-Exchange","printed for","Aaron Ward, in Little Britain; J. Oswald, in the Poultry; and H. Whitridge, at the Royal-Exchange","J. Oswald","person","Poultry","in the","print"
"printed for Aaron Ward, in Little Britain; J. Oswald, in the Poultry; and H. Whitridge, at the Royal-Exchange","printed for","Aaron Ward, in Little Britain; J. Oswald, in the Poultry; and H. Whitridge, at the Royal-Exchange","H. Whitridge","person","Royal-Exchange","at the","print"
"printed for M. Cooper","printed for","M. Cooper","M. Cooper","person",NA,NA,"print"
"printed for J. Almon, opposite Burlington-House, Piccadilly","printed for","J. Almon, opposite Burlington-House, Piccadilly","J. Almon","person","Burlington-House , Piccadilly","opposite","print"
"printed for T. Hookham, New Bond-Street","printed for","T. Hookham, New Bond-Street","T. Hookham","person","New Bond-Street",NA,"print"
"printed for J. Almon","printed for","J. Almon","J. Almon","person",NA,NA,"print"
"printed for J. Pemberton; and sold by T. Jauncy, and J. Roberts","printed for","J. Pemberton; and","J. Pemberton","person",NA,NA,"print"
"printed for J. Pemberton; and sold by T. Jauncy, and J. Roberts","sold by","T. Jauncy, and J. Roberts","T. Jauncy","person",NA,NA,"sell"
"printed for J. Pemberton; and sold by T. Jauncy, and J. Roberts","sold by","T. Jauncy, and J. Roberts","J. Roberts","unknown",NA,NA,"sell"
"printed for G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","printed for","G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","G. Kearsly","person","Ludgate-Street","at No. 1 , in","print"
"printed for G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","printed for","G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","Johnson","unknown","Pater-Noster-Row","in","print"
"printed for G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","printed for","G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","Payne","unknown","Pater-Noster-Row","in","print"
"printed for G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","printed for","G. Kearsly, at No. 1, in Ludgate-Street; Johnson and Payne, in Pater-Noster-Row; and G. Woodfall, at Charing-Cross","G. Woodfall","person","Charing-Cross","at","print"
"printed for G. Kearsley, No. 46, Fleet-Street; and W. Forster, No. 348, near Exeter-Change, in the Strand","printed for","G. Kearsley, No. 46, Fleet-Street; and W. Forster, No. 348, near Exeter-Change, in the Strand","G. Kearsley","person","Fleet-Street","No. 46","print"
"printed for G. Kearsley, No. 46, Fleet-Street; and W. Forster, No. 348, near Exeter-Change, in the Strand","printed for","G. Kearsley, No. 46, Fleet-Street; and W. Forster, No. 348, near Exeter-Change, in the Strand","W. Forster","person","Exeter-Change , in the Strand","No. 348 , near","print"
"printed for W. Innys, at the Prince's Arms in St. Paul's Church-Yard","printed for","W. Innys, at the Prince's Arms in St. Paul's Church-Yard","W. Innys","person","Prince's Arms in St. Paul's Church-Yard","at the","print"
"apud Jonam Bowyer",NA,"apud Jonam Bowyer",NA,NA,NA,NA,NA
"printed by J. Leake, for W. Rogers, at the Sun, over-against St. Dunstan's-Church in Fleet-Street","printed by","J. Leake, for W. Rogers, at the Sun, over-against St. Dunstan's-Church in Fleet-Street","J. Leake","person","Sun , over-against St. Dunstan's-Church in Fleet-Street","at the","print"
"printed by J. Leake, for W. Rogers, at the Sun, over-against St. Dunstan's-Church in Fleet-Street","printed by","J. Leake, for W. Rogers, at the Sun, over-against St. Dunstan's-Church in Fleet-Street","W. Rogers","person","Sun , over-against St. Dunstan's-Church in Fleet-Street","at the","print"
"printed for John Wyat, at the Rose in St. Paul's Church-Yard","printed for","John Wyat, at the Rose in St. Paul's Church-Yard","John Wyat","person","Rose in St. Paul's Church-Yard","at the","print"
"printed for John Wilford, at the Three Golden Flower-de-Luces in Little Britain","printed for","John Wilford, at the Three Golden Flower-de-Luces in Little Britain","John Wilford","person","Three Golden Flower-de-Luces in Little Britain","at the","print"
"printed for Lawton Gilliver, at Homer's Head against St. Dunstan's Church in Fleet-Street","printed for","Lawton Gilliver, at Homer's Head against St. Dunstan's Church in Fleet-Street","Lawton Gilliver","person","Homer's Head against St. Dunstan's Church in Fleet-Street","at","print"
"printed for A. Ward, and J. Oswald; and R. Hett","printed for","A. Ward, and J. Oswald; and R. Hett","A. Ward","person",NA,NA,"print"
"printed for A. Ward, and J. Oswald; and R. Hett","printed for","A. Ward, and J. Oswald; and R. Hett","J. Oswald","person",NA,NA,"print"
"printed for A. Ward, and J. Oswald; and R. Hett","printed for","A. Ward, and J. Oswald; and R. Hett","R. Hett","unknown",NA,NA,"print"
"printed by H. Hills, in Black-Fryars, near the Water-Side. For the benefit of the poor","printed by","H. Hills, in Black-Fryars, near the Water-Side. For the benefit of the poor","H. Hills","person","Black-Fryars , near the Water-Side. For the benefit of the poor","in","print"
"printed by James Phillips, for E. and C. Dilly","printed by","James Phillips, for E. and C. Dilly","James Phillips","person",NA,NA,"print"
"printed in the year",NA,"printed in the year",NA,NA,NA,NA,NA
"printed for Richard Wellington, at the Dolphin and Crown in St. Paul's Church-Yard","printed for","Richard Wellington, at the Dolphin and Crown in St. Paul's Church-Yard","Richard Wellington","person","Dolphin and Crown in St. Paul's Church-Yard","at the","print"
"Printed for E. Smith, and are to be sold by Rich. Wilkin at the King's-Head in St. Paul's Church-Yard","printed for","E. Smith, and are to be","E. Smith","person",NA,NA,"print"
"Printed for E. Smith, and are to be sold by Rich. Wilkin at the King's-Head in St. Paul's Church-Yard","sold by","Rich. Wilkin at the King's-Head in St. Paul's Church-Yard","Rich. Wilkin","person","King's-Head in St. Paul's Church-Yard","at the","sell"
"sold by J. Roberts, near the Oxford Arms in Warwick lane","sold by","J. Roberts, near the Oxford Arms in Warwick lane","J. Roberts","person","Oxford Arms in Warwick lane","near the","sell"
"printed by John Hayes","printed by","John Hayes","John Hayes","person",NA,NA,"print"
"printed by John Hayes, Printer to the University","printed by","John Hayes, Printer to the University","John Hayes","person",NA,NA,"print"
"printed by John Hayes, Printer to the University","printed by","John Hayes, Printer to the University","Printer","unknown",NA,NA,"print"
"printed for J. Johnson","printed for","J. Johnson","J. Johnson","person",NA,NA,"print"
"printed for T. N. Longman, NO, 39. Paternoster-Row","printed for","T. N. Longman, NO, 39. Paternoster-Row","T. N. Longman","person","Paternoster-Row",NA,"print"
"printed by I. Thompson, Esq; and Company","printed by","I. Thompson, Esq; and Company","I. Thompson","person",NA,NA,"print"
"printed by I. Thompson, Esq; and Company","printed by","I. Thompson, Esq; and Company","Esq","unknown",NA,NA,"print"
"printed by I. Thompson, Esq; and Company","printed by","I. Thompson, Esq; and Company","Company","unknown",NA,NA,"print"
"Printed for J. Johnson, in St. Paul's Church-Yard, by T. Bensley, Bolt-court, Fleet-street","printed for","J. Johnson, in St. Paul's Church-Yard, by T. Bensley, Bolt-court, Fleet-street","J. Johnson","person","St. Paul's Church-Yard , by T. Bensley , Bolt-court , Fleet-street","in","print"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","printed by","J. Nichols; and","J. Nichols","person",NA,NA,"print"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","sold by","J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","J. Rivington","person",NA,NA,"sell"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","sold by","J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","Sons","unknown",NA,NA,"sell"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","sold by","J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","J. Robson","person",NA,NA,"sell"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","sold by","J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","C. Dilly","person",NA,NA,"sell"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","sold by","J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","T. Cadell","person",NA,NA,"sell"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","sold by","J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","W. Clarke","person",NA,NA,"sell"
"printed by J. Nichols; and sold by J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","sold by","J. Rivington and Sons; J. Robson, and C. Dilly; T. Cadell; W. Clarke, and T. Hookham","T. Hookham","unknown",NA,NA,"sell"
"Philadelphia printed: London reprinted: and sold by J. Johnson, St. Paul's Church Yard, and J. Phillips, George Yard, Lombard Street","stringstart","Philadelphia printed: London reprinted: and",NA,NA,"Philadelphia",NA,"unk"
"Philadelphia printed: London reprinted: and sold by J. Johnson, St. Paul's Church Yard, and J. Phillips, George Yard, Lombard Street","stringstart","Philadelphia printed: London reprinted: and",NA,NA,"London",NA,"unk"
"Philadelphia printed: London reprinted: and sold by J. Johnson, St. Paul's Church Yard, and J. Phillips, George Yard, Lombard Street","sold by","J. Johnson, St. Paul's Church Yard, and J. Phillips, George Yard, Lombard Street","J. Johnson","person","Lombard Street",NA,"sell"
