publication_frequency_text	publication_frequency_annual	original_frequency	original_interval	original_time	Count
Weekly	 52.00	weekly	vol. i. numb. 1. (saturday, june the 9th. [1705])-;ceased with no. 27 [1705]	1705	1
Weekly	 52.00	weekly	numb. 1. (wednesday, may 11, to wednesday, may 18. 1681.)	1681	1
Weekly	 52.00	weekly	numb. 1. (wednesday sept. 2. to wednesday sept. 9. 1702.)-numb. 4. (wednesday sept. 23. to wednesday sept. 30. 1702.)	1702	1
Weekly	 52.00	weekly	began with: 3 sept. 1800.;-vol. i. num. 9. (wednesday morning, november 12, 1800.)	<1800>	1
Weekly	 52.00	weekly (semiweekly during sessions of the legislature)	began: 1 jan. 1795; ceased: 31 may 1795	<1795>	1
Weekly	 52.00	weekly	began: nov. 17, 1785; ceased in 1799	<1786>-[1799]	1
Weekly	 52.00	weekly	numb. 1. (from may 2. to may 8. 1692.)-numb. 5. (from may 19. to may 22. 1692.)	1692	1
Weekly	 52.00	weekly	numb. 1. (saturday, january the 21st. 1715-16.)-;ceased in 1716	1715-16 [i.e. 1716]	1
Weekly	 52.00	weekly	no. 1. vol. i. (wednesday, march 21. 1716.)	[1716]	1
Weekly	 52.00	weekly	began in 1715;-numb. x. (saturday, march 3. to saturday, march 10. 1715. [i.e. 1716])	-[1716]	1
Weekly	 52.00	weekly	for monday, 11th january, 1773. - for saturday, 10th july, 1773	mdcclxxiii [1773]	1
Weekly	 52.00	weekly	numb. 1. (tuesday, january 1. 1711/12.)-numb. 3. ([january 15. 1712])	[1712]	1
Weekly	 52.00	weekly	numb. 1. (tuesday, november the 4th, to tuesday, november the 11th. 1690)-numb. 3. (tuesday, november the 25th. 1690.)	[1690]	1
Weekly	 52.00	weekly	[no. 1 (from 21 june to 28. 1683.)]-	mdclxxxiii.- [1683-	1
Weekly	 52.00	weekly	began with: no. 1 (20 mar. 1703).;-numb. 18. (saturday the 10th to saturday the 17th of july 1703.)	1703	1
Weekly	 52.00	weekly	began with: no. 1 (jan. 22? 1718).;-numb xx. (wednesday, june 7. 1718.)	[1718]	1
Weekly	 52.00	weekly	no. i. (wednesday, september 25. 1717.)-	[1717-	1
Weekly	 52.00	weekly	no. i. (from saturday, august 10. to saturday, august 17. 1717.)-	[1717-	1
Weekly	 52.00	weekly	numb. 1. (saturday, september 7, 1717.)-numb. 13 (saturday, november 30, 1717.)	1717	1
Weekly	 52.00	weekly	numb. i. (wednesday august 14. 1717.)-	1717-	1
Weekly	 52.00	weekly	numb. i. (from saturday march 15, to saturday march 22, 1718.)-;ceased: 15 nov. 1718	[1718]	1
Weekly	 52.00	weekly	numb. i. (thursday, august 6. 1719.)-numb. xxi.(thursday, december 24. 1719.)	[1719]	1
Weekly	 52.00	weekly	numb. xxii. (from thursday, dec. 24. to saturday, dec. 26. 1719.)-numb. xli. (saturday, may 7. 1720.)	[1719-1720]	1
Weekly	 52.00	weekly	began: 23 nov. 1719.;-numb. viii. (monday january 11. 1719. [i.e. 1720])	[1719-1720]	1
Weekly	 52.00	weekly	numb. i. (saturday, october 25. 1720)-numb. xv. (saturday, february 4. 1721.)	[1720-1721]	1
Weekly	 52.00	weekly	numb. xxv. (tuesday, november 6, 1722.)-num. liii. (tuesday, may 21, 1723.)	1722-[1723]	1
Weekly	 52.00	weekly	began: 28 feb. 1723.;-num. xviii. (thursday, june 27, 1723.)	[1723]	1
Weekly	 52.00	weekly	numb. xix. (thursday, july 4, 1723.)-numb. xxviii. (thursday,september 12, 1723)	[1723]	1
Weekly	 52.00	weekly	numb. 34. (saturday, july 27, 1723)-	[1723-	1
Weekly	 52.00	weekly	numb. xxix. (thursday, september 12, 1723.)-	[1723]	1
Weekly	 52.00	weekly, except june-july	no. 1 ([29 apr. 1732])-no. 12 ([22 sept. 1732])	[1732]	1
Weekly	 52.00	weekly	volume ii. [no. i-no. xxiv]-;ceased with v. 3	[1794-1795]	1
Weekly	 52.00	weekly	began in 1731? ceased in 1741	<1731-1741>	1
Weekly	 52.00	weekly	number i. (saturday, june the 5th, 1762.)-number xlvi. (saturday, november the 12th, 1763.)	[1762-1763]	1
Weekly	 52.00	weekly	began with: 20 dec. 1737.;-numb. ix. (tuesday, march 14. 1738.)	[1737-1738]	1
Weekly	 52.00	weekly	number 4. (thursday the 25. of august till tuesday the thirtieth. 1642.)-number 56 (thursday the 6. of october, till fryday the 13. of october. 1643.)	1642-1643	1
Weekly	 52.00	weekly	numb. 1 (saturday, july 18, 1741.)-;ceased with: no. 19 (21 nov. 1741)	[1741]	1
Weekly	 52.00	weekly	vol. i. [no. 1-10 (oct. 1782-june 1783)]-vol. v. [no. 41-50 (dates uncertain)]	1782-[1784?]	1
Weekly	 52.00	weekly	numb. 1. (wednesday, may 5. [1714])-numb. 5. (wednesday, june 2. [1714])	1714	1
Weekly	 52.00	weekly	began with: no. 1 (30 july 1789); ceased in 1790	[1789]-	1
Weekly	 52.00	weekly	number i. (saturday, february 8, 1783)-;ceased with: no. 10 (12 apr. 1783)	[1783]	1
Weekly	 52.00	weekly	numb. i. (wednesday, january 8. [1724])-numb. vii. (from wednesday, february 12. to wednesday, february 19, 1724.)	[1724]	1
Weekly	 52.00	weekly	no. 1 (wednesday february 13, 1734)-no. 105 ([february 11, 1736])	[1734-1736]	1
Weekly	 52.00	weekly	began: 7 feb. 1795.;-no. 23 of vol. iv. saturday, july 7, 1798. whole no. 179	[1795-1798]	1
Weekly	 52.00	weekly	began 21 oct. 1752.;-no. 416. (saturday, august 6, 1763)	[1752-1763]	1
Weekly	 52.00	weekly	numb. i. (wednesday, july 8, 1724.)-numb. ii. (wednesday, july 15, 1724.)	[1724]	1
Weekly	 52.00	weekly	number i. (saturday, november 11th, 1780.)-	[1780]-	1
Weekly	 52.00	weekly	number i. (saturday, september 17, 1757.)-;ceased with: no. 30 (6 apr. 1758)	[1757-1758]	1
Weekly	 52.00	weekly	began and ceased in 1783	<1783>	1
Weekly	 52.00	weekly	number i. (saturday, november 9, 1776.)-number xv. (saturday, february 15. 1777.)	[1776-1777]	1
Weekly	 52.00	weekly	no. i. (sunday, nov. 10. [1799])-;ceased with no. 2 (17 nov. 1799)	1799	1
Weekly	 52.00	weekly	began in jan.? 1776	<1776>-	1
Weekly	 52.00	weekly	began in march 1741	<1741>	1
Weekly	 52.00	weekly	number i. (tuesday, april 15, 1788.)-number v. (tuesday, may 13, 1788.)	[1788]	1
Weekly	 52.00	weekly	began in aug.? 1764?	<1764>-	1
Weekly	 52.00	weekly	began with: v. i, no. 1 (1 mar. 1790); ceased in dec. 1877?	[1790- ]	1
Weekly	 52.00	weekly	number i (thursday, march 15. [1764])-number iii (thursday, march 29, 1764)	[1764]	1
Weekly	 52.00	weekly	began with: no. 1 (9 nov. 1720); ceased with no. 18 (8 mar. 1721)	[1720]-	1
Weekly	 52.00	weekly	began in 1781?;by july 1791 title had changed	1781?-1790?]	1
Weekly	 52.00	weekly	began with: no. 1 (3 jan. 1795); ceased: 29 jan. 1955	[1795-1955]	1
Weekly	 52.00	weekly	began: 29 mar. 1777; ceased in may? 1778?	<1777-1778>	1
Weekly	 52.00	weekly	numb. i. (saturday, december 2, 1780.)-(numb. xiv. saturday, march 1, 1781.).;ceased with: no. 14 (3 mar. 1781)	[1780-1781]	1
Weekly	 52.00	weekly	[vol. i] numb. i. (wednesday, august 5, 1795.)-;ceased in 1796?	[1795]-	1
Weekly	 52.00	weekly	no 43. (saturday, november 26, 1737)-no. 123. (saturday june 16, 1739.)	[1737-1739]	1
Weekly	 52.00	weekly	began with: numb. 1 [24 apr./2 may 1660];-numb. 6. (friday june 1. to friday june 8. 1660.)	[1660]	1
Weekly	 52.00	weekly	began in 1794; ceased in 1827	<1794-1827>	1
Weekly	 52.00	weekly	numb. 1. (friday, october 8. [1714])-;ceased with no. 15 (14 jan. 1715)?	[1714-1715 ]	1
Weekly	 52.00	weekly	began with: 6 apr. 1726; ceased in 1726	[1726]	1
Weekly	 52.00	weekly	number i. (saturday, october 20, 1770.)-number vi. (saturday, november 24, 1770.)	[1770]	1
Weekly	 52.00	weekly (sundays)	began with: no. 1 (5 jan. 1755).;-number x. (sunday, march 9, 1755)	[1755]	1
Weekly	 52.00	weekly	began with no. 1 (6 mar. 1716).;-numb. iii. (friday, march 16. 1715/16)	mdcxvi. [1716]	1
Weekly	 52.00	weekly	began in 1660.;-numb. 3. (munday febr. 27, to munday march 5, 1660)	1660	1
Weekly	 52.00	weekly	numb. 3. (tuesday, the 13. of august, to tuesday, the 30. [1642])-numb. 44. (tuesday the 6. of june, to tuesday the 13. of june. 1643)	1642-[1643]	1
Weekly	 52.00	weekly	numb. 3. (from tuesday the 6. of february, to the 13. of the same. 1644.)-num. 11. (from tuesday the 2. of aprill, to the 10. of the same. 1644.)	1644	1
Weekly	 52.00	weekly	from wednesday july 10. to wednesday the 17 of july 1650.-;ceased with numb. 71 (2 oct. 1650)	[1650]	1
Weekly	 52.00	weekly	began in sept. 1792	<1792>	1
Weekly	 52.00	weekly	volume ii. tuesday, january 1, 1788. (no. 32.)-;ceased in 1791?	[1788-	1
Weekly	 52.00	weekly	began in 1787.;-tuesday, december 25, 1787 (vol. i. no. 31.)	[1787]	1
Weekly	 52.00	weekly	numb. 1. (october 5. 1710.)-numb. 45 [aug. 6? 1711]	1711	1
Weekly	 52.00	weekly	the 21. of august, to the 27. 1642	1642	1
Weekly	 52.00	weekly	number i. saturday, jan. 29, 1780.-number xii. saturday, april 15, 1780	[1780]	1
Weekly	 52.00	weekly	no. i (wednesday september 26th, 1750.-;ceased: 10 apr. 1751	[1750-1751]	1
Weekly	 52.00	weekly	number i. friday, september 7, 1753.-number iv. friday, october 5, 1753	[1753]	1
Weekly	 52.00	weekly	number i. thursday, november 30, 1752.-number lii. thursday, november 22, 1753	[1752-1753]	1
Weekly	 52.00	weekly	began in aug. 1774; ceased in 1804	<1774>-	1
Weekly	 52.00	weekly	numb.39 (from saturday, february 23, to saturday, march 2, 1771)-numb.55 (from saturday, june 15, to saturday, june 22, 1771)	[1771]	1
Weekly	 52.00	weekly	numb.10 (saturday, august 11, 1770)-numb.38 (saturday, february 23, 1771)	[1770-1771]	1
Weekly	 52.00	weekly	began: 23 feb. 1718/19; ceased: nov. 1724	<1719-1724>	1
Weekly	 52.00	weekly	no. 1. (monday, october 14. [1799])-;ceased in 1802	<1799-1802>	1
Weekly	 52.00	weekly	NA	<1737>	1
Weekly	 52.00	weekly	began in oct.? 1795; ceased in 1796	<1795-1796>	1
Weekly	 52.00	weekly	probably began in 1753; ceased sometime in the 19th century	<1776>	1
Weekly	 52.00	weekly	began in 1733; ceased in 1736 or 7?	<1733-	1
Weekly	 52.00	weekly	number i. [volume i.] (saturday, october 1, 1791.)-;ceased in 1796?	mdccxci. [1791-	1
Weekly	 52.00	weekly	began: 1767?; ceased: 1777?	<1773>	1
Weekly	 52.00	weekly	began: 22 jan. 1794; ceased: 5 nov. 1800	<1794-1800>	1
Weekly	 52.00	weekly	began in aug. 1800; ceased in dec. 1800?	<1800>	1
Weekly	 52.00	weekly	began in 1770; ceased in 1789	<1770-1789>	1
Weekly	 52.00	weekly	began: june 14? 1785; ceased <jan. 1786?>	[1785]-	1
Weekly	 52.00	weekly	began in dec. 1793; ceased: june? 1797	<1796>	1
Weekly	 52.00	weekly	began in 1765; ceased in 1767	<1767>	1
Weekly	 52.00	weekly	began in 1770; ceased in 1777	<1775>	1
Weekly	 52.00	weekly	began in 1747?	-1765>	1
Weekly	 52.00	weekly	began in 1794? ceased in 1800?	<1798-1800>	1
Weekly	 52.00	weekly	NA	<1780>	1
Weekly	 52.00	weekly	began: sept. 3? 1799; ceased: nov.? 1800	<1799>	1
Weekly	 52.00	weekly	began: july 3? 1799; ceased aug. 21, 1799. cf. brigham, evans	[1799]	1
Weekly	 52.00	weekly	friday, january 7, 1774. vol. ii. no. 56-friday, december 29, 1775. vol. iii. no. 159	[1774-1775]	1
Weekly	 52.00	weekly	no. 400 (friday, january 6, 1769)-;ceased with: no. 3938, 31 dec, 1836	[1769-1836]	1
Weekly	 52.00	weekly	number i. (monday, january 18th, 1779)-number xvii. (saturday, may 8th, 1779.)	[1779]	1
Weekly	 52.00	weekly	numb. i. (wednesday, november 6. 1717.)-numb. xliii. (wednesday august 27. 1718.)	[1717-1718]	1
Weekly	 52.00	weekly	no. 9 of vol. xvii. monday, december 29, 1800.-no. 13 of vol. xvii. monday, january 26, 1801	[1800-1801]	1
Weekly	 52.00	weekly	no. 23. vol. i. (november 28, 1798.)-;ceased with: no. 27. vol. i. (11 jan. 1799)	<1798-1799>	1
Weekly	 52.00	weekly	began in 1782; ceased in 1908	<1796-1800>	1
Weekly	 52.00	weekly	began: 21 apr. 1797	<1797-	1
Weekly	 52.00	weekly	began in 1785; ceased in 1834?	<1785-	1
Weekly	 52.00	weekly	began with: v. 1, no. 1 (4 sept. 1796)	[1796-1797]	1
Weekly	 52.00	weekly	began in 1792?;ceased in 1827?	[1792?-1827?]	1
Weekly	 52.00	weekly	began with no. 42 (14 may 1720); ceased: 17 march 1744	[1720-1744]	1
Weekly	 52.00	weekly	began: 4 jan. 1735; ceased in 1747?	<1735-	1
Weekly	 52.00	weekly	[no i.] wednesday, june 20, 1792.-no vii. wednesday, august 1. 1792	[1792]	1
Weekly	 52.00	weekly	saturday 5th of march, 1791. no. i.-;ceased with: no. 6, 9 apr. 1791	[1791]	1
Weekly	 52.00	weekly	number i. (january 16. [1752])-number xiii. (april 9. [1752])	mdcclii. [1752]	1
Weekly	 52.00	weekly	began in 1731. end date unknown, possibly 1788?	[1731-1788?]	1
Weekly	 52.00	weekly	began with no. 1, 16 jan. 1716; ceased with no. 2, 2 feb. 1716	mdccxvi. [1716]-	1
Weekly	 52.00	weekly	began with v.1, no. 1, 8 march 1776; ceased with: v. 2, no. 11, 15 nov. 1776	[1776]	1
Weekly	 52.00	weekly	no 1.-no. 9 ([ca. 1750?])	[ca. 1750?]	1
Weekly	 52.00	weekly	[vol. i. wednesday 12th aug. 1795. no. i.-vol. i. wednesday 23d dec. 1795. no. xx.]	1795	1
Weekly	 52.00	weekly	numb. 1. [sept.? 1740]-numb. 27 [mar.? 1741]	[1740-1741]	1
Weekly	 52.00	weekly	numb. i. (wednesday, november 25. 1719.)-numb. xv. (wednesday, march 2. 1720.)	1719-[1720]	1
Weekly	 52.00	weekly	no. i. saturday, dec. 20, 1800.-no. xi. saturday, feb. 28, 1801	[1800-1801]	1
Weekly	 52.00	weekly	vol. i. numb. 1. (monday july 8, 1723.)-	[1723-	1
Weekly	 52.00	weekly	began and ceased in 1718	[1718]	1
Weekly	 52.00	weekly	number i. (saturday, january 23d, 1763.)-number iv. (saturday, february 26th, 1763.)	[1763]	1
Weekly	 52.00	weekly	from saturday the 26 of november, till saturday the 3 of december 1642	1642	1
Weekly	 52.00	weekly	tuesday, august 29, 1797. (numb. 2590.)-	[1797-	1
Weekly	 52.00	weekly	monday, january 7, 1782. (numb. 1774.)-monday, august 22, 1797. (numb. 2589.)	[1782-1797]	1
Weekly	 52.00	weekly	monday, september 5, 1768. (numb. 1078.)-monday, december 31, 1781. (numb. 1773)	[1768-1781]	1
Weekly	 52.00	weekly	began in 1793	<1793-	1
Weekly	 52.00	weekly	numb. i. (monday, july 11. 1715.)-numb. v. (monday, august 8. 1715.)	1715]	1
Weekly	 52.00	weekly	no. 1 (thursday, september 26, 1799.)-;ceased with: no. 60 (18 dec. 1800)	[1799-1800]	1
Weekly	 52.00	weekly	numb. 1. (tuesday the 3. of december, 1678.)	1679	1
Weekly	 52.00	weekly	began in 1653?; ceased in 1657	<1653-1657>	1
Weekly	 52.00	weekly	began in 1732.;-numb. xxviii (monday, may 21, 1733)	[1732]-1733	1
Weekly	 52.00	weekly	ceased in 1796?	1792-[1796]	1
Weekly	 52.00	weekly	began in 1706	[1706-	1
Weekly	 52.00	weekly	began in 1707; ceased in 1722	[1707-1722]	1
Weekly	 52.00	weekly	vol. ii. no. 75. (sat. jun.26,1762)-;ceased with: no. 432 (apr. 7, 1770)	[1762-1770]	1
Weekly	 52.00	weekly	[vol. i] no. 1 (from saturday jan.3 to saturday jan.10, 1756) -;ceased in 1762?	[1756-1757]	1
Weekly	 52.00	weekly	began in 1770.;-no. 638. vol. xiii. (saturday, may 14. mdcclxxiv. [1774])	<1770>-[1774]	1
Weekly	 52.00	weekly	no.i. friday, september 22. 1780. - no.26. friday, march 23. 1781	1780-1781	1
Weekly	 52.00	weekly	began in 1783; ceased in 1784	[1783]-1784	1
Weekly	 52.00	weekly	no.298. friday, september 6, 1771. vol. vi.-no.348. friday, august 21, 1772	1771-1772	1
Weekly	 52.00	weekly	for wednesday, august 13th, 1772.-for wednesday, july 7th, 1773.(numb. xxii. volume ii.)	1772-1773	1
Weekly	 52.00	weekly	numb. i. (from munday july 25 [i.e. 24], to munday july 31. [1648])-numb. 5. (from tuesday august 22. to tuesday august 29. [1648])	1648]	1
Weekly	 52.00	weekly	began in 1798; ceased in 1798	1798	1
Weekly	 52.00	weekly	numb. i. - numb. ii. [1753]	1753	1
Weekly	 52.00	weekly	began with: vol. xxxvi, no. 1824 (sept. 27, 1798); ceased in 1800?	[1798]-	1
Weekly	 52.00	weekly	vol. 1 no. 1 (nov. 7, 1705)-vol. 1 no. 4 (nov. 30, 1705)	1705	1
Weekly	 52.00	weekly	began in 1778	<1778>	1
Weekly	 52.00	weekly	began: 3 feb. 1793	<1793>	1
Weekly	 52.00	weekly	began: 16 apr. 1785; ceased in jan. 1786?	<1785-1786>	1
Weekly	 52.00	weekly	number i. (thursday, march the 17th, 1757.)-number ii. (thursday, march the 24th, 1757.)	1757	1
Weekly	 52.00	weekly	vol. i. numb. i. (wednesday, may the 16th, 1705.)-;ceased: 5 dec. 1705	1705	1
Weekly	 52.00	weekly	number i (saturday, november 19, 1763)-	[1763]	1
Weekly	 52.00	weekly	numb. i. (thursday, january 26. 1726-7.)-numb. ii. (thursday, february 2. 1726-7)	[1727]	1
Weekly	 52.00	weekly	no. 45 (saturday, may 13. 1727)-no. 1159 (saturday, september 15, 1750)	[1727-1750]	1
Weekly	 52.00	weekly	began in 1603?	<1603-	1
Weekly	 52.00	weekly	vol. 5. numb. 2 (saturday, jan. 9. 1691. [i.e. 1692]-vol. 5. numb. 12. (friday, april 1. 1692.)	1691 [i.e. 1692]	1
Weekly	 52.00	weekly	number i.-volume i. (friday, august 29. 1777.)-number xii.-volume i. (friday, november 14. 1777.)	m,dcc,lxxvii. [1777]	1
Weekly	 52.00	weekly	began with no. 44? (17-24 apr. 1660); ceased with: numb. 56? (26 june-3 july 1660)	1660	1
Weekly	 52.00	weekly	numb. 16 (from wednsday june the 13. to wednsday june 20. 1649)-[numb.] 26 (from wednsday sept. 12. to wednsday september the 19. 1648 [i.e. 1649])	1649	1
Weekly	 52.00	weekly	numb. 1 (friday june the 7th [1689])-;ceased with no. 2	1689	1
Weekly	 52.00	weekly	began in dec. 1788	<1790-	1
Weekly	 52.00	weekly	numb.1. the fifth volume (friday, august 25. 1682)-;ceased with: vol. v. numb. 37. (4 may 1683)	1682-[1683]	1
Weekly	 52.00	weekly	numb.i (thursday, december 4, 1729)-numb.ccxciv (thursday, june 26. 1735)	[1729-1735]	1
Weekly	 52.00	weekly	no. i. [saturday, aug. 2, 1746.]-no. ix. [saturday, oct. 4, 1746.]	m,dcc,xlvi. [1746]	1
Weekly	 52.00	weekly	vol. i. [numb. i (29 dec. 1759)]-numb. iv. [19 jan. 1760]	m.dcc.lx. [1760]	1
Weekly	 52.00	weekly	number i. (tuesday, january 6, 1756.)-number vii. (tuesday, february 17, 1756.)	[1756]	1
Weekly	 52.00	weekly	began with: no. 1 (24 may 1739?)	[1739?]-	1
Weekly	 52.00	weekly	began with: no. 1 (23 may 1739?)	[1739?]-	1
Weekly	 52.00	weekly	began with: no. 1, 12 june 1705; ceased with: no. 20, 23 oct. 1705	printed in the year mdccv [1705]	1
Weekly	 52.00	weekly	numb. 1 (tuesday, march, 17th. 1690 [i.e. 1691])	1690 [i.e. 1691]	1
Weekly	 52.00	weekly	numb. 1. [october 16/22 1700]-numb. 16. (february the 10th, to february the 17th. [1701])	mdcc. [1700]-[1701]	1
Weekly	 52.00	weekly	num. 1. [april 26. 1686]-num. 4. [17 may 1686]	1686	1
Weekly	 52.00	weekly	began in 1765; ceased with: no.22, 19 oct. 1765?	[1765]-	1
Weekly	 52.00	weekly	no.661. friday, january 31, 1800. volume xiii.-;ceased: 27 sept. 1825	[1800-	1
Weekly	 52.00	weekly	began with: no.1, 15 dec. 1730; ceased with: no. 534, 20 jan. 1741	[1730-1741]	1
Weekly	 52.00	weekly	no. i. thursday, march 1, 1792.-;ceased with: no.9 [ apr. 26, 1792]	m dcc xcii. [1792]	1
Weekly	 52.00	weekly	number two,-;ceased with no. 31	[1795]	1
Weekly	 52.00	weekly	numb. i. (saturday, november 4. 1732.)-numb. xii. (saturday, january 20. 1732.)	1732-1733	1
Weekly	 52.00	weekly	began in oct. 1773; ceased in 1782	[1773-1782]	1
Weekly	 52.00	weekly	edenburgh march 18. 1689.-edenburgh, april 4. 1689	1689	1
Weekly	 52.00	weekly	began oct? 1795; ceased apr. 1797?	[1795-1797?]	1
Weekly	 52.00	weekly	the twentie two of november to the twentie nine 1641	1641	1
Weekly	 52.00	weekly	no.1 (saturday, march 31, 1792) - no. 52 (saturday, march 23, 1793)	[1792-1793]	1
Weekly	 52.00	weekly	began in june, 1691.;-numb. 2. [sic] (monday the 6th of this instant july. [1691])	-1691]	1
Weekly	 52.00	weekly	numb. 1, tuesday, july 13, 1762-;ceased in 1781	[1762]-	1
Weekly	 52.00	weekly	began in jan 1789?;ceased in 1838	[1789?-1838]	1
Weekly	 52.00	weekly	no. i. (fairyland, monday, april 25. 1796.)-no xlvi. fairyland, wednesday, november 16. 1796	[1796]	1
Weekly	 52.00	weekly	began: 20 nov. 1772; ceased: 31 may 1781	[1772-1781]	1
Weekly	 52.00	weekly	no. i. (monday, november 6, 1786.)-no. xl. (monday, july 30, 1787.)	1786-1787	1
Weekly	 52.00	weekly	no. i.-no. x	m dcc lxxxvi.-m dcc lxxxvii. [1786-1787]	1
Weekly	 52.00	weekly	vol. i. numb. i. friday may 31, 1754.-vol. i. numb. ii. friday june 7, 1754	[1754]	1
Weekly	 52.00	weekly	numb. 1. (saturday may 14. 1720.)-numb. 20. saturday, october 8. to saturday, october 15. [1720].;ceased with no. 22 (22 oct. 1720)?	[1720]	1
Weekly	 52.00	weekly	number i. volume i. thursday, july 3. 1777.-;ceased in 1783?	[1777-	1
Weekly	 52.00	weekly	no.1. saturday, may 31, 1788.-no. 43. saturday, march 21, 1789	mdcclxxxviii.-m.dcc.lxxxix. [1788-1789]	1
Weekly	 52.00	weekly	number i. saturday, october 20th, 1770.-number viii. saturday, december 8, 1770	[1770]	1
Weekly	 52.00	weekly	began in jan. 1792? ; ceased in <sept. 1798>	[1792]-	1
Weekly	 52.00	weekly	no. i. (saturday, january the 3d, 1741)-no. xxiv. (saturday, june the 13th, 1741.)	[1741]	1
Weekly	 52.00	weekly	number i. friday, may 22, 1772.- [number xxvii] friday, november 20, 1772	[1772]	1
Weekly	 52.00	weekly	numb. i. friday, november 27, 1772.-numb. v. friday, december 25, 1772	[1772]	1
Weekly	 52.00	weekly	began in 1765? the previous title continued until at least oct. 1762.;ceased in june 1770?	[1765?-1770?]	1
Weekly	 52.00	weekly	began in 1768? ceased in 1768	[ -1768]	1
Weekly	 52.00	weekly	vol. i. numb. i thursday, january the 5th, 1743-4.-vol. i. numb. 26 thursday, june the 28th, 1744	[1744]	1
Weekly	 52.00	weekly	number i. (saturday june the 19th, 1762.)-number v. (saturday july the 17th, 1762.)	[1762]	1
Weekly	 52.00	weekly	no. i. saturday, 11th february, 1797.-no. xvi. saturday, 27th may, 1797	[1797]	1
Weekly	 52.00	weekly	numb. i. [10/17 july 1749]-;ceased in: oct.? 1749	1749	1
Weekly	 52.00	weekly	numb. i. tuesday, january 9, 1732. [i.e. 1733]-numb. xxxvii. wednesday, december 5, 1733	[1733]	1
Weekly	 52.00	weekly	number 1. thursday, june 10, 1762.-;ceased in 1763	[1762- ]	1
Weekly	 52.00	weekly	began with: no. 1028, 27 may 1788.;-tuesday may 31, to tuesday june 7, 1791. vol. xxi-no. 1186	-1791]	1
Weekly	 52.00	weekly	saturday, september 1. 1733. no. i-	1733- ]	1
Weekly	 52.00	weekly (collected every 12 issues)	began: 28 jan. 1774.;-[v.5:no.13] friday, march 29, 1775	-1775]	1
Weekly	 52.00	weekly	[no. i. jan. 1, 1751]-vol. iv. no. xix. the last in december 1752	[1751-1752]	1
Weekly	 52.00	weekly	numb. 1. (fom friday 21. of april, to friday the 28. 1648.)	1648]	1
Weekly	 52.00	weekly	began in jan. 1642.;-numb. 3. (ianuary 24. to ianuary 31. [1642])	[1642]	1
Weekly	 52.00	weekly	vol.i.numb.1 (thursday, november 12 to thursday, november 19, 1767.) - numb.52 (thursday, november 10, 1768)	[1767-1768]	1
Weekly	 52.00	weekly	no.806. vol.16 (thursday, june 7, 1781)-no.1170 vol.xxiii. (thursday may 29, 1788)	[1781-1788]	1
Weekly	 52.00	weekly	numb.1766. (monday,may24, 1790)-;ceased: 30 dec. 1793	[1790]-<1793>	1
Weekly	 52.00	weekly	NA	<1704-	1
Weekly	 52.00	weekly	began in 1715; ceased in 1725	<1715-1725>	1
Weekly	 52.00	weekly	began in 1785	<1785-	1
Weekly	 52.00	weekly	began in 1783?	<1785?>	1
Weekly	 52.00	weekly	began january 30, 1734.;saturday, mar.30, 1734 [no.191] - saturday, feb.12,1737 [no.340]	1734-1737	1
Weekly	 52.00	weekly	numb. i. (wednesday january 5. 1732)-;ceased with: no. 9, mar. 1, 1732	[1732]	1
Weekly	 52.00	weekly	no. 1. (wednesday, 9th march, 1796.)-no. 23 (wednesday, december 14, 1796)	[1796]	1
Weekly	 52.00	weekly	began in apr. 1715; ceased in may? 1716?	[1715-1716?]	1
Weekly	 52.00	weekly	began 3 january 1718? ceased in 1725?	[1718-1725?]	1
Weekly	 52.00	weekly	friday, july 3. 1772.-;ceased: 24 dec. 1773	[1772-	1
Weekly	 52.00	weekly	began with: no. 1 (23 july 1701).;-numb. 5. (from wednesday august the 20th. to wednesday august the 27th. 1701.)	1701	1
Weekly	 52.00	weekly	numb. 1. (from munday april 9, to munday april 16, 1660.)-;ceased with: no. 12 (18/25 june 1660)	1660	1
Weekly	 52.00	weekly	began in nov. 1777; ceased with: no. 83 (16 jan. 1779)	[1777-1779]	1
Weekly	 52.00	weekly	number xx. (monday, august 23, 1773.)-	<1773-	1
Weekly	 52.00	weekly	began: 176u-jan. 177u	&lt;1766- >	1
Weekly	 52.00	weekly	began with: no. 336, 11 mar. 1763; ceased with v. 20, no. 2001, 9 jan. 1776	<1763-1776>	1
Weekly	 52.00	weekly	friday, october 7. 1756 numb. 1-friday, march 4. 1763 numb. 335	[1756-1763]	1
Weekly	 52.00	weekly	began and ceased in 1754?	<1754>	1
Weekly	 52.00	weekly	numb. cxxv. tuesday, january 2, 1728 - numb. 275. tuesday, november 17.;ceased in 1735?	<1728-1730>	1
Weekly	 52.00	weekly	numb.xcvi. tuesday, june 13, 1727. - numb.cxxiv. tuesday, december 26, 1727	1727	1
Weekly	 52.00	weekly	numb. 1. (saturday, june 21, 1777.)-;ceased in nov.? 1777	[1777]	1
Weekly	 52.00	weekly?	no. v. (wednesday, may 7, 1788)-	[1788]-	1
Weekly	 52.00	weekly	number i. (cambridge, april 12, 1764.)	[1764]	1
Weekly	 52.00	weekly	vol.vi.no.335. saturday, feburary 12, 1791. - saturday, december 28, 1793. no.488 - saturday, january 4, 1793. no. 489. - friday, december 15, 1797 no. 748	-1797]	1
