PrintedFor	PrintedBy	Ignored	Original	count
reprinted by Benjamin Took, printer to the King's most excellent Majesty; and are to be sold by Samuel Helsham at the Colledge-arms in Castle-street	NA	NA	reprinted by Benjamin Took, printed to the King's most printedllent Majesty; and are to be sold by Samuel Helsham at the Colledge-arms in Castle-street	1
reprinted by Benjamin Took, printer to the Kings most excellent Majesty, and are to be sold by Andrew Crook, at His Majesties printing-house on Ormonde-Key, and Samuel Helsham, at the Colledge-arms in Castle-street	NA	NA	reprinted by Benjamin Took, printed to the Kings most printedllent Majesty, and are to be sold by Andrew Crook, at His Majesties printing-house on Ormonde-Key, and Samuel Helsham, at the Colledge-arms in Castle-street	1
printed for Thomas Malthus, at the Sun in the Poultry	NA	NA	printed for Thomas Malthus, at the Sun in the Poultry	1
printed by John White	NA	NA	printed by John White	1
printed by W. Godbid, for William Cooper at the Pellican in Little-Britain	NA	NA	printed by W. Godbid, for William Cooper at the Pellican in Little-Britain	1
printed by Andrew Crook and Samuel Helsham assigns of Benjamin Tooke, printer to the King's most excellent Majesty; and are to be sold at Ormonde-Key, and at the Colledge-arms in Castle-street	NA	NA	printed by Andrew Crook and Samuel Helsham assigns of Benjamin Tooke, printed to the King's most printedllent Majesty; and are to be sold at Ormonde-Key, and at the Colledge-arms in Castle-street	1
printed for E.J.	NA	NA	printed for E.J	1
reprinted by Andrew Crook, assignee of Benjamin Tooke, printer to the King and Queens most excellent Majesties, on Ormonde-Key	NA	NA	reprinted by Andrew Crook, assignee of Benjamin Tooke, printed to the King and Queens most printedllent Majesties, on Ormonde-Key	1
This copie was printed at Yorke by Robert Baker, printer to the Kings most Excellent Majesty, and and [sic] by the assignes of Iohn Bill, and now printed at London for I. F.	NA	NA	This copie was printed in Yorke by Robert Baker, printed to the Kings most excllent Majesty, and and sic by the assignes of Iohn Bill, and now printed in London for I. F	1
by Stephen Bulkley, for Marke, Foster	NA	NA	by Stephen Bulkley, for Marke, Foster	1
Imprinted at Yorke by Robert Barker, and now reprinted at London for J.B.	NA	NA	printed in Yorke by Robert Barker, and now reprinted in London for J.B	1
for Samuel Gellibrand, at the Brazen Serpent in Pauls Church-yard	NA	NA	for Samuel Gellibrand, at the Brazen Serpent in Pauls Church-yard	1
printed by Thomas Harper, for Richard Harper, and are to be sold at his shop in Smithfield	NA	NA	printed by Thomas Harper, for Richard Harper, and are to be sold at his shop in Smithfield	1
printed for Iohn Wright at the Kings Head in the Old-baily	NA	NA	printed for Iohn Wright at the Kings Head in the Old-baily	1
for Iohn Wright at the Kings Head in the Old Bayley	NA	NA	for Iohn Wright at the Kings Head in the Old Bayley	1
printed by E. Mallet in Black-Horse-Alley near Fleet-Bridge	NA	NA	printed by E. Mallet in Black-Horse-Alley near Fleet-Bridge	1
prostant venales apud Edw. Castle, juxta White-hall & Sam. Buckley ad insigne Delphinis in Fleetstreet	NA	NA	prostant venales apud Edw. Castle, juxta White-hall & Sam. Buckley ad insigne Delphinis in Fleetstreet	1
printed by Abel Roper	NA	NA	printed by Abel Roper	1
Printed for E. Husbands	NA	NA	Printed for E. Husbands	1
printed for Luke Fawne, and are to be sold at his shop at the sign of the Parrot in Pauls Church-yard	NA	NA	printed for Luke Fawne, and are to be sold at his shop at the sign of the Parrot in Pauls Church-yard	1
Printed at Edinburg, and re-printed by Edw. Jones in the Savoy	NA	NA	printed in Edinburg, and reprinted by Edw. Jones in the Savoy	1
printed for A. Baldwin in VVarwick-lane	NA	NA	printed for A. Baldwin in VVarwick-lane	1
printed by the heir of Andrew Anderson, by order of Parliament	NA	NA	printed by the heir of Andrew Anderson, by order of Parliament	1
printed by R. I[bbitson]. for Livewell Chapman at the Crown in Popes-Head Alley	NA	NA	printed by R. Ibbitson. for Livewell Chapman at the Crown in Popes-Head Alley	1
printed by J[ames]. C[ottrell]. for John Crooke	NA	NA	printed by James. Cottrell. for John Crooke	1
for G. Horton, and are to be sold at the Royall Exchange in Cornwall	NA	NA	for G. Horton, and are to be sold at the Royall excange in Cornwall	1
Ex officina Ioannis Field almæ academiæ typographi	NA	NA	Ex officina Ioannis Field almæ academiæ typographi	1
printed for Henry Broom at the sign of the Gun in Ivie Lane	NA	NA	printed for Henry Broom at the sign of the Gun in Ivie Lane	1
January 30. By Leonard Lichfield, printer to the Vniversity	NA	NA	January 30. By Leonard Lichfield, printed to the Vniversity	1
printed by John Streater, James Flesher, and Henry Twyford, assigns of Richard Atkyns and Edward Atkyns Esquires	NA	NA	printed by John Streater, James Flesher, and Henry Twyford, assigns of Richard Atkyns and Edward Atkyns Esquires	1
These are to be soulde in Pawles Churchyard at the Brasen Serpent by Robert Dexter	NA	NA	These are to be soulde in Pawles Churchyard at the Brasen Serpent by Robert Dexter	1
printed for John Dallom dwelling in Black-friers	NA	NA	printed for John Dallom dwelling in Black-friers	1
printed by Andr. Clark, for S. Mearne, book-binder to the Kings most excellent Majesty	NA	NA	printed by Andr. Clark, for S. Mearne, book-binder to the Kings most printedllent Majesty	1
printed for Nath. Crouch at the Bell in the Poultery, near Cheapside	NA	NA	printed for Nath. Crouch at the Bell in the Poultery, near Cheapside	1
printed by Edward Jones at the King's Hospital in Oxman Town; for the King and Queen's most excellent Majesties	NA	NA	printed by Edward Jones at the King's Hospital in Oxman Town; for the King and Queen's most printedllent Majesties	1
Printed by Iohn field, printer to the Parliament of England. 1652. And by special command reprinted at Dublin by Wil. Bladen	NA	NA	Printed by Iohn field, printed to the Parliament of England. 1652. And by special command reprinted in Dublin by Wil. Bladen	1
printed by George Larkin, at the Two Swans without Bishopgate	NA	NA	printed by George Larkin, at the Two Swans without Bishopgate	1
for G. VVharton	NA	NA	for G. VVharton	1
printed for R. Rbshton [sic]	NA	NA	printed for R. Rbshton sic	1
printed by Matthew Simmons, for Henry Overton in Popes head Alley	NA	NA	printed by Matthew Simmons, for Henry Overton in Popes head Alley	1
Printed at London, and re-printed at Edinburgh, by the heir of Andrew Anderson, printer to their Most Excellent Majesties	NA	NA	printed in London, and reprinted in Edinburgh, by the heir of Andrew Anderson, printed to their Most excllent Majesties	1
printed for Abell Swalle, at the Unicorn, at the west-end of St. Pauls	NA	NA	printed for Abell Swalle, at the Unicorn, at the west-end of St. Pauls	1
printed for J. Conyers; in Holbourn	NA	NA	printed for J. Conyers; in Holbourn	1
printed by the heir of Andrew Anderson, printer to their Most Excellent Majesties	NA	NA	printed by the heir of Andrew Anderson, printed to their Most excllent Majesties	1
et veneunt Parisiis via Jacobæa. Apud Ludocivum Guerin, sub insigne D. Thomæ Aquinatis	NA	NA	printed inveneunt Parisiis via Jacobæa. Apud Ludocivum Guerin, sub insigne D. Thomæ Aquinatis	1
printed by Christopher Higgins, in Harts-Close, over against the Trone Church	NA	NA	printed by Christopher Higgins, in Harts-Close, over against the Trone Church	1
printed by Matthew Simmons, and are to be sold by Hanna Allen, at the Crowne in Popes-head-Alley	NA	NA	printed by Matthew Simmons, and are to be sold by Hanna Allen, at the Crowne in Popes-head-Alley	1
re-printed by the heirs and successors of Andrew Anderson, printer to his most excellent Majesty	NA	NA	reprinted by the heirs and successors of Andrew Anderson, printed to his most printedllent Majesty	1
for R[ichard]. H[arper]. and I.G.	NA	NA	for Richard. Harper. and I.G	1
July 29. London printed for Nathaniel Allen	Nathaniel Allen	NA	NA	1
printed by T.P. and M.S. for John Owen	NA	NA	printed by T.P. and M.S. for John Owen	1
printed for Thomas Bates, and are to be sold at his shop in the Old Bayly	NA	NA	printed for Thomas Bates, and are to be sold at his shop in the Old Bayly	1
printed for T. Paybody, in Queenshead-Alley	NA	NA	printed for T. Paybody, in Queenshead-Alley	1
Printed at Holy-Rood-House	NA	NA	printed in Holy-Rood-House	1
printed, sold by Benjamin Clark	NA	NA	printed, sold by Benjamin Clark	1
printed by Jane Clowes	NA	NA	printed by Jane Clowes	1
July 21. London, printed for Edward Iohnson	Edward Iohnson	NA	NA	1
printed by Matthew Simmons, and Gartrude Dawson	NA	NA	printed by Matthew Simmons, and Gartrude Dawson	1
printed the fourth of Iune, for W. Gaye	NA	NA	printed the fourth of Iune, for W. Gaye	1
printed for Iohn Wright and Ioseph Hunscot	NA	NA	printed for Iohn Wright and Ioseph Hunscot	1
In the Savoy. Printed by the assigns of J. Bill and Chr. Barker printers to the Kings most excellent Majesty	NA	NA	printed inthe Savoy. Printed by the assigns of J. Bill and Chr. Barker printed to the Kings most printedllent Majesty	1
printed for Thomas Palmer, at the Crown in Westminster-Hall	NA	NA	printed for Thomas Palmer, at the Crown in Westminster-Hall	1
printed by Matthew Simmons, and are to be sold by George VVhittington, at the blew Anchor neere the Royall Exchange	NA	NA	printed by Matthew Simmons, and are to be sold by George VVhittington, at the blew Anchor neere the Royall excange	1
printed for Jo. Crook and Jo. Baker, and are to be sold at the sign of the ship in St. Paul's Church-yard	NA	NA	printed for Jo. Crook and Jo. Baker, and are to be sold at the sign of the ship in St. Paul's Church-yard	1
chez Henri Cadman, libraire dans le nouveau change sur le Strand	NA	NA	chez Henri Cadman, libraire dans le nouveau change sur le Strand	1
printed for Ioseph Hundgate	NA	NA	printed for Ioseph Hundgate	1
printed by Goorge [sic] Mosman, printer to this church and her assemblies	NA	NA	printed by Goorge sic Mosman, printed to this church and her assemblies	1
Printed at London for Fr. Grove, dwelling on Snow hill	NA	NA	printed in London for Fr. Grove, dwelling on Snow hill	1
printed for Robert Horn, at the south entrance of the Royal Exchange	NA	NA	printed for Robert Horn, at the south entrance of the Royal excange	1
printed by G.C. for Joseph Harrison	NA	NA	printed by G.C. for Joseph Harrison	1
printed for T. Basset, and C. Wilkinson	NA	NA	printed for T. Basset, and C. Wilkinson	1
Sheldonian Press	NA	NA	Sheldonian Press	1
printed for Thomas Bancks	NA	NA	printed for Thomas Bancks	1
Printed at Edinburgh, re-printed at London, by George Croom, at the Blue-Ball in Thames-street, near Baynard's-Castle	NA	NA	printed in Edinburgh, reprinted in London, by George Croom, at the Blue-Ball in Thames-street, near Baynard's-Castle	1
printed for B. Harris at the Royal-Exchange in Cornhill	NA	NA	printed for B. Harris at the Royal-excange in Cornhill	1
printed for Edward Husbands and John Franck, and are to be sold at their shops in the Middle Temple, and next door to the Kings head in Fleet-street	NA	NA	printed for Edward Husbands and John Franck, and are to be sold at their shops in the Middle Temple, and next door to the Kings head in Fleet-street	1
printed by Charles Bill, and the Executrix of Thomas Newcomb, deceas'd, printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill, and the Executrix of Thomas Newcomb, deceas'd, printed to the Kings most printedllent Majesty	1
printed for L. Blaiklock, and Tho. Hewer	NA	NA	printed for L. Blaiklock, and Tho. Hewer	1
printed by the heir of Andrew Anderson, printer to their most excellent Majesties, city and colledge	NA	NA	printed by the heir of Andrew Anderson, printed to their most printedllent Majesties, city and colledge	1
re-printed for Jacob Milner; and are to be sold at his shop in Essex-street	NA	NA	reprinted for Jacob Milner; and are to be sold at his shop in Essex-street	1
printed for Randal Tayler, near Stationers-Hall	NA	NA	printed for Randal Tayler, near Stationers-Hall	1
printed for Absalon Chamberlain, in Red-bull play-house-yard over against the Pound in St. John-street; near Clerken-well-green	NA	NA	printed for Absalon Chamberlain, in Red-bull play-house-yard over against the Pound in St. John-street; near Clerken-well-green	1
printed by William Beale, for J. Gibbs	NA	NA	printed by William Beale, for J. Gibbs	1
printed for H.E.	NA	NA	printed for H.E	1
reprinted by Benjamin Tooke, and John Crook, printers to the Kings Most Excellent Majesty, & are to be sold by Mary Crook, at His Majesties printing-house in Skinner-row	NA	NA	reprinted by Benjamin Tooke, and John Crook, printed to the Kings Most excllent Majesty, & are to be sold by Mary Crook, at His Majesties printing-house in Skinner-row	1
printed by G. Dawson, for Andrew Crook, and are to be sold at the sign of the Green Dragon in Pauls-Church-yard	NA	NA	printed by G. Dawson, for Andrew Crook, and are to be sold at the sign of the Green Dragon in Pauls-Church-yard	1
printed by a [sic] Society of Stationers	NA	NA	printed by a sic Society of Stationers	1
printed by the heirs of Andrew Anderson, printer to His most Sacred Majesty	NA	NA	printed by the heirs of Andrew Anderson, printed to His most Sacred Majesty	1
Printed for J. Dean, in Cranborn-street, in Leicester-Fields, over-against Newport-House	NA	NA	Printed for J. Dean, in Cranborn-street, in Leicester-Fields, over-against Newport-House	1
par les assignés de Jean Bill, Thomas Nieucomb, & Henry Hills, imprimeurs du Roy	NA	NA	par les assignés de Jean Bill, Thomas Nieucomb, & Henry Hills, printed inmeimeurs du Roy	1
First printed by his Majesties printers, and new [sic] reprinted at London for William Gay	NA	his Majesties printed	NA	1
Printed at York, and now re imprinted at London	NA	NA	printed in York, and now reprinted in London	1
printed by Tho. James for Benj. Harris at the Stationers Arms and Anchor in the Piazza of the Royal Exchange	NA	NA	printed by Tho. James for Benj. Harris at the Stationers Arms and Anchor in the Piazza of the Royal excange	1
printed for William Miller, at the Gilded Acorn in St. Paul's Church-yard, where gentlemen and others may be furnished with Acts of Parliament, speeches, and other sorts of discourses and state-matters; as also books of divinity, church government, &c	NA	NA	printed for William Miller, at the Gilded Acorn in St. Paul's Church-yard, where gentlemen and others may be furnished with Acts of Parliament, speeches, and other sorts of discourses and state-matters; as also books of divinity, church government, &c	1
printed by M. Simmons, for Thomas Jenner; and are to be sold at his shop at the south entrance of the Royal Exchange	NA	NA	printed by M. Simmons, for Thomas Jenner; and are to be sold at his shop at the south entrance of the Royal excange	1
printed by Abraham Miller, and are to be sold by George Sawbridge at the sign of the Bible on Ludgate-hill	NA	NA	printed by Abraham Miller, and are to be sold by George Sawbridge at the sign of the Bible on Ludgate-hill	1
printed by Tho. Snowden; sold by E. Whitlock [near] Stationers-Hall	NA	NA	printed by Tho. Snowden; sold by E. Whitlock near Stationers-Hall	1
Printed for R. Burton at the Horshoe in West-Smithfield	NA	NA	Printed for R. Burton at the Horshoe in West-Smithfield	1
Printed for J. Blare at the Looking Glass off London-Bridge: and reprinted at Aberdeen by Iohn Forbes	NA	NA	Printed for J. Blare at the Looking Glass off London-Bridge: and reprinted in Aberdeen by Iohn Forbes	1
printed for J. Salusbury, at the Atlas in Cornhil, near the Royal Exchange	NA	NA	printed for J. Salusbury, at the Atlas in Cornhil, near the Royal excange	1
printed for Edw. Husbands, and are to be sold at his shop in the Middle-Temple	NA	NA	printed for Edw. Husbands, and are to be sold at his shop in the Middle-Temple	1
printed by J. Macock, and are to be sold by Francis Tyton, at the three Daggers in Fleet-street	NA	NA	printed by J. Macock, and are to be sold by Francis Tyton, at the three Daggers in Fleet-street	1
printed, and sold by E. Smith, at the Bible, under the Piazza of the Royal Exchange, and George Harwar, near the Hermitage-Bridge, Wapping, compass-maker	NA	E Smith	NA	1
printed and are to be sold by John How at the south west corner of the Royal Exchange in Cornhill, and Thomas Malthus at the Sun in the Poultrey	NA	NA	printed and are to be sold by John How at the south west corner of the Royal excange in Cornhill, and Thomas Malthus at the Sun in the Poultrey	1
printed (as truly by Evan Tyler, printer to the Kings most Excellent Maj[e]stie, as were the Scotch papers, lately published in London) and are to be sold at the most solemne signe of the Blew-Bonnet, right opposite to the two Houses of Parliament	NA	NA	printed (as truly by Evan Tyler, printed to the Kings most excllent Majestie, as were the Scotch papers, lately printed in London) and are to be sold at the most solemne signe of the Blew-Bonnet, right opposite to the two Houses of Parliament	1
uitgegeven door Nicolaus Visscher, met privilegie	NA	NA	uitgegeven door Nicolaus Visscher, met privilegie	1
printed by John Crook, printer to the Kings most excellent Majestie, and are to be sold by Samuel Dancer, bookseller in Castlestreet	NA	NA	printed by John Crook, printed to the Kings most printedllent Majestie, and are to be sold by Samuel Dancer, bookseller in Castlestreet	1
Printed formerly in Holland, and now reprinted by W. Godbid and are to be sold by Richard Skelton, and Richard Head, at [...	NA	NA	Printed formerly in Holland, and now reprinted by W. Godbid and are to be sold by Richard Skelton, and Richard Head, at ..	1
Ghedruct door M.B. voor Robbert Costock, in's Conincx hoost op Pauwels Kerckhoff	NA	NA	Ghedruct door M.B. voor Robbert Costock, in's Conincx hoost op Pauwels Kerckhoff	1
excudebat T.M.	NA	NA	printedT.M	1
printed for William Ley at Pauls-Chaine	NA	NA	printed for William Ley at Pauls-Chaine	1
printed for William Winter, bookseller at the Wandring Jew in Castle-street	NA	NA	printed for William Winter, bookseller at the Wandring Jew in Castle-street	1
Printed [by H. Hall] for W. Webb	NA	NA	Printed by H. Hall for W. Webb	1
printed for Peter Cole, at the Glove and Lyon in Cornhill, neer the Royall Exchange	NA	NA	printed for Peter Cole, at the Glove and Lyon in Cornhill, neer the Royall excange	1
printed for T. Winter, and T. Hewer	NA	NA	printed for T. Winter, and T. Hewer	1
Printed by his Majesties command. At Oxford, by Leonard Lichfield, printer to the University	NA	NA	Printed by his Majesties command. At Oxford, by Leonard Lichfield, printed to the University	1
printed by the coppy that was printed for Iohn Wright	Iohn Wright	NA	NA	1
printed for F. Coles and T.B.	NA	NA	printed for F. Coles and T.B	1
printed for N.D. in Little-Brittain	NA	NA	printed for N.D. in Little-Brittain	1
printed for John Starkey, at the Miter in Fleet-street, near Temple-Bar	NA	NA	printed for John Starkey, at the Miter in Fleet-street, near Temple-Bar	1
Catalogues may be had at Powel's Coffee-House in Cornhil; Olivers Coffee-House at Westminster-hall Gate; at Mr Hartley's bookseller in Holbourne; Mr Playf[or]d's in the passage to Temple Change Coffee-House; Mr Scot at the Temple Gate; Mr Salter a [sic] Musick shop in St. Paul's Church-yard; Mr Hare in Freeman's Yard in Cornhil; and at the place of sale	NA	NA	Catalogues may be had at Powel's Coffee-House in Cornhil; Olivers Coffee-House at Westminster-hall Gate; at Mr Hartley's bookseller in Holbourne; Mr Playford's in the passage to Temple Change Coffee-House; Mr Scot at the Temple Gate; Mr Salter a sic Musick shop in St. Paul's Church-yard; Mr Hare in Freeman's Yard in Cornhil; and at the place of sale	1
printed and sold by H. Hills, in Black-Fryers	NA	NA	printed by H. Hills, in Black-Fryers	1
printed for Sam. Lowndes over-against Exeter-Exchange in the Strand, and to be sold by E. Whitlock near Stationers-Hall	NA	NA	printed for Sam. Lowndes over-against Exeter-excange in the Strand, and to be sold by E. Whitlock near Stationers-Hall	1
printed for Humphrey Robinson at the three Pigeons in Pauls Church-yard	NA	NA	printed for Humphrey Robinson at the three Pigeons in Pauls Church-yard	1
printed for T. Allcock, on Tower-Hill	NA	NA	printed for T. Allcock, on Tower-Hill	1
Febr. 7. Printed for Robert Wood	NA	NA	Febr. 7. Printed for Robert Wood	1
printed for Tho. Bates, and are to be sold at his shop in the old Baily	NA	NA	printed for Tho. Bates, and are to be sold at his shop in the old Baily	1
printed, and are to be sold by E. Whitlock near Stationers-Hall	NA	NA	printed, and are to be sold by E. Whitlock near Stationers-Hall	1
printed for Absalon Chamberlain	NA	NA	printed for Absalon Chamberlain	1
printed for Ed. Goldin near Charing-Cross	NA	NA	printed for Ed. Goldin near Charing-Cross	1
printed for I.W.I [sic]	NA	NA	printed for I.W.I sic	1
Printed for the inhabitants of Ipswich, and parts adjacent	NA	NA	Printed for the inhabitants of Ipswich, and parts adjacent	1
printed for Iohn Clarke at Mercers Chappell in Cheapside	NA	NA	printed for Iohn Clarke at Mercers Chappell in Cheapside	1
Printed by Peter Lillierap [sic] living in Clerkenwell-Close	NA	NA	Printed by Peter Lillierap sic living in Clerkenwell-Close	1
printed for E.H.	NA	NA	printed for E.H	1
printed by John Brent at the Hercules-Pillars in Essex-street, for Jacob Milner; and are to be sold at his shop over against the end of Essex-Bridge	NA	NA	printed by John Brent at the Hercules-Pillars in Essex-street, for Jacob Milner; and are to be sold at his shop over against the end of Essex-Bridge	1
Printed for Thomas Davis	NA	NA	Printed for Thomas Davis	1
printed for T. Lightfoot near Woodstreet	NA	NA	printed for T. Lightfoot near Woodstreet	1
printed: and are to be sold by Randall Taylor, near Stationers-Hall	NA	NA	printed: and are to be sold by Randall Taylor, near Stationers-Hall	1
printed by Samuel Roycroft, printer to the honorable city of London	NA	NA	printed by Samuel Roycroft, printed to the honorable city of London	1
Iuly 30. London printed for Iohn Wright	Iohn Wright	NA	NA	1
Excusum pro Roberto Boulter, ad insigne Capitis Turcæ, ex adversum Mercatorio Regali, in Vico vulgo Cornhill dicto	NA	NA	exc pro Roberto Boulter, ad insigne Capitis Turcæ, ex adversum Mercatorio Regali, in Vico vulgo Cornhill dicto	1
printed for Tho. Cockerill, at the Three Legs in the Poultry	NA	NA	printed for Tho. Cockerill, at the Three Legs in the Poultry	1
Printed by R. Eeles	NA	NA	Printed by R. Eeles	1
Septemb. 14. London printed for John Wright	John Wright	NA	NA	1
ex officina Rogeri Daniel, Almæ Academiæ Typographi	NA	NA	ex officina Rogeri Daniel, Almæ Academiæ Typographi	1
by Pieter Rammazeyn, boeck-verkooper inde Cortegroenendal int vergulde ABC	NA	NA	by Pieter Rammazeyn, boeck-verkooper inde Cortegroenendal int vergulde ABC	1
printed for Will. Whitwood, at the sign of the Bible in Giltspur-street, without Newgate	NA	NA	printed for Will. Whitwood, at the sign of the Bible in Giltspur-street, without Newgate	1
July 28. London, printed for Edward Husbands, and John Franck	Edward Husbands	NA	NA	1
Edinburgh, printed by the heir of Andrew Anderson, printer to His most sacred Majesty, anno Dom. 1679. Reprinted for Andrew Forrester, in King-street VVestminster	NA	the heir of Andrew Anderson	NA	1
printed for R. Hayhurst, in Little-Britain	NA	NA	printed for R. Hayhurst, in Little-Britain	1
printed and sold by T. Sowle in White-Hart-Court in Gracious-street	NA	NA	printed by T. Sowle in White-Hart-Court in Gracious-street	1
printed for T.P. W.T. and T.S. and sold by Ralph Smith, at the sign of the Bible, under the Piazza of the Royal Exchange in Cornhil	NA	Ralph Smith	NA	1
printed by T. Sowle, in White-Hart-Court in Gracious-street; where several small treatises of banks may be also had	NA	NA	printed by T. Sowle, in White-Hart-Court in Gracious-street; where several small treatises of banks may be also had	1
Edinburgh, printed by the heir of Andrew Anderson, printer to his most sacred Majesty. And reprinted at London for A. Banks	NA	the heir of Andrew Anderson	NA	1
printed by T[homas]. P[aine]. and M[atthew]. S[immons]. for N[athaniel]. Allen	NA	NA	printed by Thomas. Paine. and Matthew. Simmons. for Nathaniel. Allen	1
printed for John Wright at the Kings Head in the Old-Baily	NA	NA	printed for John Wright at the Kings Head in the Old-Baily	1
printed by Charles Bill, H. Hills, and Th. Newcomb, printers to the King's most excellent Majesty	NA	NA	printed by Charles Bill, H. Hills, and Th. Newcomb, printed to the King's most printedllent Majesty	1
printed by VVlliam Bladen	NA	NA	printed by VVlliam Bladen	1
printed for Iohn Burroughes, and are to be sold a [sic] his shop at the signe of the Golden Dragon neare the Inner Temple gate in Fleetstreet	NA	NA	printed for Iohn Burroughes, and are to be sold a sic his shop at the signe of the Golden Dragon neare the Inner Temple gate in Fleetstreet	1
printed for the author, by Rich. Janeway, Jun. on Addle-Hill, near Doctors-Commons, and sold by J. Robinson, at the Golden-lion, in St. Paul's Church-yard; where also may be had his other books	NA	J Robinson	NA	1
printed for Charles Brome, at the Gun, at the West end of St. Paul's	NA	NA	printed for Charles Brome, at the Gun, at the West end of St. Paul's	1
printed by William Godbid, dwelling in Little Britain	NA	NA	printed by William Godbid, dwelling in Little Britain	1
printed for R. Baldwin, in Old Baily Corner	NA	NA	printed for R. Baldwin, in Old Baily Corner	1
printed by R.W. for Francis Tyton, at the three daggers in Fleetstreet	NA	NA	printed by R.W. for Francis Tyton, at the three daggers in Fleetstreet	1
par Jean Brudenell en Jewinstreet, pour F. Vaillant, Marchand libraire, demeurant dans le Strand, vis-à-vis l'Eglise Francoise de la Savoye	NA	NA	par Jean Brudenell en Jewinstreet, pour F. Vaillant, Marchand libraire, demeurant dans le Strand, vis-à-vis l'Eglise Francoise de la Savoye	1
printed by Thomas Milbourn dwelling in Jewen-Street, Anno. Dom.	NA	NA	printed by Thomas Milbourn dwelling in Jewen-Street, Anno. Dom	1
printed for Abel Swalle, at the Unicorn at the west-end of St. Paul's Church-yard, and are to be sold by Samuel Eddowes, at the Blew Anchor under the Piazza of the Royal Exchange	NA	NA	printed for Abel Swalle, at the Unicorn at the west-end of St. Paul's Church-yard, and are to be sold by Samuel Eddowes, at the Blew Anchor under the Piazza of the Royal excange	1
printed by A. and L. Lichfield, for Edmund Thorn	NA	NA	printed by A. and L. Lichfield, for Edmund Thorn	1
printed for G. Lindsey. Octob.31	NA	NA	printed for G. Lindsey. Octob.31	1
printed for R. C. and to be sold by John Lawrence at the Angel in Cornhill	NA	NA	printed for R. C. and to be sold by John Lawrence at the Angel in Cornhill	1
by Robert Barker, printer the Kings Most Excellent Majestie : and by the assignes of John Bill.	NA	NA	by Robert Barker, printed the Kings Most excllent Majestie : and by the assignes of John Bill	1
Printed at London, and re-printed at Edinburgh by the heir of Andrew Anderson, printer to Their most excellent Majesties	NA	NA	printed in London, and reprinted in Edinburgh by the heir of Andrew Anderson, printed to Their most printedllent Majesties	1
re-printed by the heir of Andrew Anderson, printer to their most excellent Majesties	NA	NA	reprinted by the heir of Andrew Anderson, printed to their most printedllent Majesties	1
printed for Ed. Hawkins, in the Old. Baily	NA	NA	printed for Ed. Hawkins, in the Old. Baily	1
printed for F.B.	NA	NA	printed for F.B	1
printed for Edward Husband, printed to the honorable House of Commons	NA	NA	printed for Edward Husband, printed to the honorable House of Commons	1
Printed for Iohn Bull	NA	NA	Printed for Iohn Bull	1
by Stephen Bulkeley]	NA	NA	by Stephen Bulkeley	1
Printed by his Highness special comandment, by Henry Hills and William du-Gard, printers to his Highness the Lord Protector	NA	NA	Printed by his Highness special comandment, by Henry Hills and William du-Gard, printed to his Highness the Lord Protector	1
printed by A. Warren, and are to be sold by Joshua Kirton at the Kings Armes in St. Paul's Church-yard	NA	NA	printed by A. Warren, and are to be sold by Joshua Kirton at the Kings Armes in St. Paul's Church-yard	1
printed by R.C. & R.H. for Daniel Frere, and are to be sold at his shop, at the Red Bull in Little Britaine	NA	NA	printed by R.C. & R.H. for Daniel Frere, and are to be sold at his shop, at the Red Bull in Little Britaine	1
To be had at Powell's Coffee-House in [?]	NA	NA	To be had at Powell's Coffee-House in ?	1
printed by Jos. Ray, at College-green, for Jos. Howes bookseller, at the Kings Arms in Castle-street	NA	NA	printed by Jos. Ray, at College-green, for Jos. Howes bookseller, at the Kings Arms in Castle-street	1
printed by M. Clark for Walter Kettilby at the Bishops Head in S. Paul's Churchyard	NA	NA	printed by M. Clark for Walter Kettilby at the Bishops Head in S. Paul's Churchyard	1
typis Jacobi Flesheri Prostant apud Cornelium Bee, in vico Litle-Britain dicto	NA	NA	printed Jacobi Flesheri Prostant apud Cornelium Bee, in vico Litle-Britain dicto	1
printed for John Gwillim, in Bishopsgate-street, and sold by most booksellers	NA	most booksellers	NA	1
printed by R.D. and are to be sold by Francis Eglesfield at the Marigold in S. Paul's Church-yard	NA	NA	printed by R.D. and are to be sold by Francis Eglesfield at the Marigold in S. Paul's Church-yard	1
printed for Tho: Vere, dwelling at the upper end of the Old Bayley	NA	NA	printed for Tho: Vere, dwelling at the upper end of the Old Bayley	1
printed by R.B. for Edward Husbands, and I[ohn]. F[rank]. and are to be sold, the next doore to the Kings-head in Fleet-street	NA	NA	printed by R.B. for Edward Husbands, and Iohn. Frank. and are to be sold, the next doore to the Kings-head in Fleet-street	1
printed by T[homas]. F[awcet]. for N.R.	NA	NA	printed by Thomas. Fawcet. for N.R	1
printed for Jos. Hindmarsh, at the Golden Ball over against the Royal Exchange in Cornhil	NA	NA	printed for Jos. Hindmarsh, at the Golden Ball over against the Royal excange in Cornhil	1
for John Wright, at the Kings-Head in the Old-Bayley	NA	NA	for John Wright, at the Kings-Head in the Old-Bayley	1
printed for John Franke, and are to be sold at his shop next door to the Kings-head Tavern in Fleet-Street	NA	NA	printed for John Franke, and are to be sold at his shop next door to the Kings-head Tavern in Fleet-Street	1
